barcode,dataset_table9,dataset_role,policy_table9,window_k,window_cycle_start,window_cycle_end,expected_cycle_count,QDischarge_valid_count,QDischarge_valid_ratio,QCharge_valid_count,QCharge_valid_ratio,IR_valid_count,IR_valid_ratio,Tmax_valid_count,Tmax_valid_ratio,Tavg_valid_count,Tavg_valid_ratio,Tmin_valid_count,Tmin_valid_ratio,chargetime_valid_count,chargetime_valid_ratio,QDischarge_end,QDischarge_mean,QDischarge_slope,QDischarge_std,QDischarge_delta_cycle2_to_k,QCharge_mean,QCharge_slope,QCharge_delta_cycle2_to_k,IR_end,IR_mean,IR_slope,IR_delta_cycle2_to_k,Tmax_mean,Tavg_mean,Tmin_mean,chargetime_mean,chargetime_slope
EL150800460474,Prim. Test,Primary,6C(40%)-4C,5,2,5,4,4,1,4,1,4,1,4,1,4,1,4,1,4,1,1.0738072,1.072496625,0.00094289,0.00106964098738,0.0029202,1.07239115,0.00098682,0.0030345,0.017448261,0.0175807475,-5.77338e-05,-0.000167629,37.2754515,33.0215175612,30.51181425,10.1387295833,-0.000176500000017
EL150800460477,Prim. Test,Primary,5.4C(70%)-3C,5,2,5,4,4,1,4,1,4,1,4,1,4,1,4,1,4,1,1.0818073,1.080740975,0.00083007,0.000947791995574,0.0025139,1.08090715,0.00074538,0.002251,0.016862378,0.01689535125,-2.61563e-05,-7.5437e-05,34.59586975,31.8872736552,29.81649875,11.451155,0.025037
EL150800460478,Train,Train,4.4C(24%)-5C,5,2,5,4,4,1,4,1,4,1,4,1,4,1,4,1,4,1,1.0722336,1.06944775,0.00204934,0.00239750076277,0.0065868,1.0688399,0.00175598,0.0048562,0.017986769,0.01777642975,2.95735e-05,0.000206705,33.354287,31.1532847047,29.21251075,10.17632875,-0.0275231666667
EL150800460480,Prim. Test,Primary,4.4C(47%)-5.5C,5,2,5,4,4,1,4,1,4,1,4,1,4,1,4,1,4,1,1.0655496,1.06507775,0.00063654,0.000838398155711,0.0017116,1.06501345,0.0006324,0.0017027,0.017314211,0.0175804245,-0.000109747,-0.000222312,37.1741455,32.6729920571,29.89877675,10.1764879167,-0.00503349999999
EL150800460481,Prim. Test,Primary,6C(40%)-3.6C,5,2,5,4,4,1,4,1,4,1,4,1,4,1,4,1,4,1,1.0971971,1.096124775,0.00084661,0.000969039556404,0.0025579,1.0960922,0.0008091,0.0024393,0.016881218,0.0169090455,-2.43044e-05,-7.1036e-05,30.598162,30.3190350434,30.04502625,10.09708875,-0.000100500000002
EL150800460485,Train,Train,7C(40%)-3.6C,5,2,5,4,4,1,4,1,4,1,4,1,4,1,4,1,4,1,1.0872587,1.08622345,0.00081928,0.000940456268255,0.0024905,1.0864779,0.00077926,0.0023711,0.017351789,0.01739120025,-2.94511e-05,-8.4609e-05,35.24601175,32.3937228063,29.91338425,10.2835754167,0.0082325
EL150800460486,Train,Train,3.6C(80%)-3.6C,5,2,5,4,4,1,4,1,4,1,4,1,4,1,4,1,4,1,1.0781505,1.076840575,0.00092337,0.00104248061942,0.0028493,1.07659515,0.0008763,0.0026999,0.016915262,0.0169730745,-4.52106e-05,-0.000123569,34.5074145,31.72824097,29.95126475,13.404875,0.00844200000001
EL150800460492,Prim. Test,Primary,5.2C(66%)-3.5C,5,2,5,4,4,1,4,1,4,1,4,1,4,1,4,1,4,1,1.072331,1.070563775,0.00126567,0.00145899934951,0.0034801,1.0705191,0.00123426,0.003734,0.01758872,0.01762511375,-4.07731e-05,-7.3703e-05,37.36299925,33.3526553848,30.84050375,10.1600458333,-0.0253833333334
EL150800460498,Train,Train,6C(31%)-4.25C,5,2,5,4,4,1,4,1,4,1,4,1,4,1,4,1,4,1,1.076982,1.07555085,0.00111694,0.00128141282478,0.0034174,1.07537715,0.00110318,0.0033428,0.017937675,0.0180761545,-6.37566e-05,-0.000190005,37.24007725,32.956483334,30.47621175,10.1374608333,0.0166583333333
EL150800460501,Train,Train,4.65C(69%)-6C,5,2,5,4,4,1,4,1,4,1,4,1,4,1,4,1,4,1,1.0769193,1.0762382,0.00079816,0.00103187743943,0.0023984,1.07596765,0.00082482,0.0024649,0.017632106,0.0176937915,-9.02316e-05,-0.00024492,35.65245425,32.1532845965,30.00347575,10.25224375,-0.000842833333347
EL150800460506,Train,Train,6C(50%)-3.6C,5,2,5,4,4,1,4,1,4,1,4,1,4,1,4,1,4,1,1.0804976,1.079338375,0.00087893,0.000998467028437,0.0026661,1.07939345,0.00080512,0.0024332,0.0164144,0.0164390605,-2.27056e-05,-6.6284e-05,33.6179695,31.9141092376,30.27000925,11.5249125,0.000289666666692
EL150800460507,Train,Train,6C(30%)-3.6C,5,2,5,4,4,1,4,1,4,1,4,1,4,1,4,1,4,1,1.0801463,1.079162325,0.00078215,0.000902514189293,0.0023988,1.078671675,0.00073359,0.0022404,0.016671298,0.01670567075,-2.42121e-05,-7.0779e-05,37.042661,33.6619167735,30.62131625,11.1174129167,-0.00807749999999
EL150800460510,Prim. Test,Primary,4C(31%)-5C,5,2,5,4,4,1,4,1,4,1,4,1,4,1,4,1,4,1,1.0736918,1.072529625,0.00077699,0.000875073457988,0.0024159,1.07186035,0.00034512,0.0009435,0.016893815,0.01700940925,-8.44589e-05,-0.000239412,37.8575135,33.5077132817,30.65016625,10.1691941667,0.00668100000005
EL150800460511,Train,Train,5.6C(38%)-4.25C,5,2,5,4,4,1,4,1,4,1,4,1,4,1,4,1,4,1,1.0771992,1.07627805,0.00078878,0.000922512258726,0.0023826,1.076015925,0.00080047,0.0024753,0.018079281,0.01815623375,-4.48417e-05,-0.000147031,35.08043675,31.966320859,29.84435325,10.09795625,-0.000106500000039
EL150800460513,Train,Train,5.6C(65%)-3C,5,2,5,4,4,1,4,1,4,1,4,1,4,1,4,1,4,1,1.0715803,1.070392575,0.00110063,0.00133077520524,0.0033754,1.07003265,0.00117494,0.0035749,0.017948806,0.0178800675,-1.8054e-05,1.0306e-05,36.55763325,32.8102327941,30.25577525,10.1155433333,-0.00813799999991
EL150800460514,Prim. Test,Primary,3.6C(80%)-3.6C,5,2,5,4,4,1,4,1,4,1,4,1,4,1,4,1,4,1,1.073174,1.0720683,0.00080634,0.000914781883839,0.0024848,1.071997675,0.00064137,0.0019278,0.016661867,0.01670244375,-2.84525e-05,-8.0487e-05,35.68856825,31.9246065347,29.6398565,13.38340875,-3.50000000555e-06
EL150800460518,Train,Train,1C(4%)-6C,5,2,5,4,4,1,4,1,4,1,4,1,4,1,4,1,4,1,1.0719097,1.071709575,0.00066223,0.0010484165951,0.0018556,1.0713016,0.00063566,0.0016725,0.017489189,0.0174572585,-3.56208e-05,-1.6265e-05,31.43171875,29.647236049,27.74552525,10.2570491667,0.0218636666667
EL150800460522,Train,Train,5.4C(50%)-3.6C,5,2,5,4,4,1,4,1,4,1,4,1,4,1,4,1,4,1,1.0745075,1.07344165,0.00080054,0.000911548568371,0.0024555,1.073329925,0.00075475,0.0022923,0.016672445,0.0167267935,-3.41284e-05,-0.000106194,35.0857365,31.967182664,29.3691345,10.1385741667,0.0166943333333
EL150800460525,Train,Train,6C(50%)-3C,5,2,5,4,4,1,4,1,4,1,4,1,4,1,4,1,4,1,1.0785322,1.077818775,0.00061921,0.000736807703458,0.0019148,1.0780368,0.00059052,0.0017909,0.016888976,0.016931302,-3.12434e-05,-9.3524e-05,35.598837,32.5110536151,29.9196375,11.0637454167,0.00796616666666
EL150800460526,Prim. Test,Primary,5.6C(5%)-4.75C,5,2,5,4,4,1,4,1,4,1,4,1,4,1,4,1,4,1,1.0799356,1.078811425,0.00111603,0.00137140209161,0.0033837,1.07761825,0.00165976,0.0047378,0.017393531,0.017434655,-7.90602e-05,-0.000188522,37.508044,33.0600991875,30.24385475,10.1399741667,-0.016316
EL150800460527,Prim. Test,Primary,5.2C(10%)-4.75C,5,2,5,4,4,1,4,1,4,1,4,1,4,1,4,1,4,1,1.0696967,1.068625825,0.00075761,0.00087300593748,0.0024165,1.068383075,0.00078641,0.0024892,0.017700016,0.01775094675,-3.29869e-05,-8.9013e-05,36.23993675,32.4225982878,29.87826225,10.097315,1.76666666569e-05
EL150800460528,Prim. Test,Primary,5.6C(25%)-4.5C,5,2,5,4,4,1,4,1,4,1,4,1,4,1,4,1,4,1,1.0818433,1.0804774,0.00082634,0.00105716448815,0.0021123,1.080391075,0.00068075,0.0021656,0.020051869,0.0201567315,-5.4632e-05,-0.000163721,37.7822685,33.4330757673,30.54354825,10.1603020833,0.0250821666667
EL150800460596,Prim. Test,Primary,4.8C(80%)-4.8C,5,2,5,4,4,1,4,1,4,1,4,1,4,1,4,1,4,1,1.079951,1.078834125,0.00108011,0.0013243382128,0.0033099,1.078643475,0.00109541,0.0032871,0.01806586,0.01797347025,-1.42881e-05,1.6989e-05,34.72469825,31.5178962544,29.54292925,10.00826875,0.000204500000035
EL150800460597,Prim. Test,Primary,4.8C(80%)-4.8C,5,2,5,4,4,1,4,1,4,1,4,1,4,1,4,1,4,1,1.0712154,1.06947755,0.00102674,0.00116861017773,0.0032472,1.0692446,0.00101442,0.0032007,0.017360577,0.017324893,-3.0143e-05,-0.000128096,32.58534425,30.2722620891,28.3481335,10.0504991667,0.016869
EL150800460599,Prim. Test,Primary,6C(60%)-3C,5,2,5,4,4,1,4,1,4,1,4,1,4,1,4,1,4,1,1.0461055,1.044354975,0.00134781,0.00152720739485,0.003968,1.04343,0.00133882,0.0041787,0.017647116,0.01780940825,-9.58011e-05,-0.000276267,36.23303125,32.4091951098,29.692261,10.1168458333,0.00836199999995
EL150800460601,Prim. Test,Primary,6C(60%)-3C,5,2,5,4,4,1,4,1,4,1,4,1,4,1,4,1,4,1,1.0771673,1.076177325,0.00076403,0.000876023713649,0.0023479,1.07635105,0.0006993,0.0021117,0.016546713,0.01657022275,-2.09937e-05,-6.1222e-05,35.60169525,32.8232415753,30.2196065,11.58671875,-0.00805449999999
EL150800460602,Train,Train,2C(2%)-5C,5,2,5,4,4,1,4,1,4,1,4,1,4,1,4,1,4,1,1.0763675,1.0754324,0.00093446,0.00114971243144,0.0028284,1.0746624,0.00095408,0.0028719,0.017915562,0.01785088725,-1.47857e-05,2.1165e-05,36.534214,32.4329388979,29.56028,10.0673204167,0.0166731666666
EL150800460603,Train,Train,4.65C(19%)-4.85C,5,2,5,4,4,1,4,1,4,1,4,1,4,1,4,1,4,1,1.0800804,1.0785799,0.00101952,0.00115516667845,0.0032005,1.0782026,0.0010771,0.003378,0.017519278,0.01762422175,-4.89721e-05,-0.000136134,36.57504275,32.7112829647,30.67654725,10.12582875,-0.0249501666667
EL150800460604,Train,Train,4.9C(69%)-4.25C,5,2,5,4,4,1,4,1,4,1,4,1,4,1,4,1,4,1,1.0746225,1.0738831,0.00067376,0.000825463881705,0.0021182,1.073104,0.00019942,0.0004961,0.016981995,0.01706931,-5.87756e-05,-0.000162653,37.468071,33.3073174497,30.51512,10.1187645833,-0.00836016666666
EL150800460605,Prim. Test,Primary,2C(10%)-6C,5,2,5,4,4,1,4,1,4,1,4,1,4,1,4,1,4,1,1.0713807,1.0724934,-0.0001359,0.000843847358827,-0.0006898,1.072072125,5.995e-05,-0.0001602,0.017232127,0.017587605,-0.0001636738,-0.000350014,36.622588,31.8678138477,28.87490825,10.3034670833,-0.0264335
EL150800460608,Train,Train,5.2C(37%)-4.5C,5,2,5,4,4,1,4,1,4,1,4,1,4,1,4,1,4,1,1.0765644,1.07519765,0.00109692,0.00125703919688,0.0032851,1.0744073,0.00071062,0.0020042,0.017663617,0.01766409825,-1.78567e-05,-2.5013e-05,34.4000385,31.6658784667,29.88844925,10.1385254167,0.0166205
EL150800460610,Prim. Test,Primary,4.9C(61%)-4.5C,5,2,5,4,4,1,4,1,4,1,4,1,4,1,4,1,4,1,1.074273,1.073355125,0.00091975,0.00112065641339,0.002723,1.071714425,0.00118527,0.0045672,0.017217251,0.01721506125,-2.74885e-05,-1.6704e-05,36.57606975,32.7888636934,30.10010275,10.1465066667,0.0128573333333
EL150800460611,Train,Train,4.8C(80%)-4.8C,5,2,5,4,4,1,4,1,4,1,4,1,4,1,4,1,4,1,1.0698761,1.068931875,0.00087451,0.00104207706139,0.0026087,1.068718275,0.00087243,0.0025716,0.017511886,0.0176002095,-5.66704e-05,-0.000166533,33.76174925,30.8573187475,28.84351075,10.0504279167,-0.0168765
EL150800460613,Train,Train,6C(4%)-4.75C,5,2,5,4,4,1,4,1,4,1,4,1,4,1,4,1,4,1,1.0732507,1.071984775,0.00090293,0.00101993521455,0.0027781,1.071762175,0.00092887,0.0028495,0.017017327,0.01712519025,-4.81909e-05,-0.00013602,36.85212025,32.7514870314,30.33611075,10.0970545833,-1.41666666851e-05
EL150800460614,Train,Train,4.9C(27%)-4.75C,5,2,5,4,4,1,4,1,4,1,4,1,4,1,4,1,4,1,1.0684742,1.0675626,0.00089362,0.00107937955558,0.0026332,1.067290175,0.00087985,0.002601,0.017549558,0.01759210975,-3.25935e-05,-7.4766e-05,35.214077,31.8652836165,29.62252575,10.1599266667,0.00826566666661
EL150800460615,Train,Train,6C(40%)-3C,5,2,5,4,4,1,4,1,4,1,4,1,4,1,4,1,4,1,1.0821818,1.08126865,0.00076566,0.000890964882866,0.0023181,1.08140265,0.00070422,0.0021232,0.015999669,0.01602950275,-2.54391e-05,-7.266e-05,36.343012,33.4273959218,30.69597225,10.1384945833,-0.0166978333333
EL150800460617,Prim. Test,Primary,5.4C(80%)-5.4C,5,2,5,4,4,1,4,1,4,1,4,1,4,1,4,1,4,1,1.0772517,1.07637395,0.00064058,0.000735826683058,0.0020172,1.0759101,0.00062192,0.0019156,0.016607096,0.0166534775,-2.95102e-05,-9.2181e-05,37.7218305,33.7815254934,30.591043,12.1174033333,0.00831266666668
EL150800460618,Train,Train,7C(40%)-3C,5,2,5,4,4,1,4,1,4,1,4,1,4,1,4,1,4,1,1.0826759,1.081514275,0.00092219,0.00105942180546,0.0028034,1.0819043,0.0008818,0.0026734,0.016678825,0.01671626975,-3.10345e-05,-8.9075e-05,37.0723325,33.426046912,30.36091025,11.1793829167,-0.0167645
EL150800460622,Prim. Test,Primary,6C(50%)-3.6C,5,2,5,4,4,1,4,1,4,1,4,1,4,1,4,1,4,1,1.073244,1.072167075,0.00082655,0.000940172801604,0.0024976,1.072438625,0.00072193,0.0021926,0.01697932,0.01701087875,-2.72519e-05,-7.9719e-05,34.49601725,31.9579350082,29.75149625,11.0428416667,0.000148999999992
EL150800460623,Prim. Test,Primary,3.6C(80%)-3.6C,5,2,5,4,4,1,4,1,4,1,4,1,4,1,4,1,4,1,1.0827312,1.081550725,0.00093453,0.00106858923206,0.0028089,1.08133115,0.00089896,0.0027395,0.016715366,0.016783566,-5.708e-05,-0.000152614,34.89237125,31.9007634017,30.079578,13.3624670833,0.00837049999999
EL150800460627,Train,Train,5.6C(58%)-3.5C,5,2,5,4,4,1,4,1,4,1,4,1,4,1,4,1,4,1,1.0821269,1.080436125,0.00135097,0.00157768257957,0.0036656,1.080268675,0.00130007,0.0039331,0.017996728,0.01805074875,-6.25513e-05,-0.000177944,35.6084965,32.0539823243,29.7333905,10.15706,0.0081736666667
EL150800460628,Train,Train,5.2C(71%)-3C,5,2,5,4,4,1,4,1,4,1,4,1,4,1,4,1,4,1,1.0717659,1.070145475,0.00111007,0.00128539457439,0.0030442,1.0701551,0.00100272,0.0030304,0.01731734,0.01739915475,-5.27323e-05,-0.000143273,38.2630635,33.667646248,30.80417275,10.11776875,0.0248105
EL150800460630,Train,Train,5.4C(70%)-3C,5,2,5,4,4,1,4,1,4,1,4,1,4,1,4,1,4,1,1.0764751,1.075679275,0.00064965,0.000746949115988,0.0019396,1.0755376,0.00066756,0.0019815,0.016592791,0.01663679775,-3.06021e-05,-9.504e-05,36.637829,33.2900546001,30.51101975,12.1395491667,0.000230333333338
EL150800460631,Prim. Test,Primary,5.2C(50%)-4.25C,5,2,5,4,4,1,4,1,4,1,4,1,4,1,4,1,4,1,1.0773442,1.076000325,0.00114323,0.00135162096457,0.0030773,1.07625395,0.00119284,0.0035045,0.017610699,0.017608758,-3.35134e-05,-3.4969e-05,37.25829425,32.9921346661,30.2984365,10.1387516667,0.016516
EL150800460634,Train,Train,3.6C(30%)-6C,5,2,5,4,4,1,4,1,4,1,4,1,4,1,4,1,4,1,1.0713428,1.0703786,0.00088158,0.00104287678802,0.0026037,1.06949385,0.0008856,0.0025966,0.016306423,0.016546865,-0.000178452,-0.000522842,36.92426675,32.8376746398,29.6096685,10.2031195833,-0.0084418333333
EL150800460635,Prim. Test,Primary,3.6C(2%)-4.85C,5,2,5,4,4,1,4,1,4,1,4,1,4,1,4,1,4,1,1.0705818,1.069395825,0.00084551,0.000950891227678,0.0025665,1.06890955,0.00085462,0.0026081,0.016993394,0.01708602575,-5.49909e-05,-0.000186781,35.444353,32.1043317465,29.76358725,10.1586166667,-0.00823433333336
EL150800460636,Prim. Test,Primary,7C(40%)-3.6C,5,2,5,4,4,1,4,1,4,1,4,1,4,1,4,1,4,1,1.0705794,1.069579075,0.00077411,0.000882238662084,0.0023405,1.06979295,0.00069934,0.0021513,0.016043961,0.01608530675,-2.30899e-05,-6.7491e-05,36.51048475,33.3179460524,30.243286,11.17915875,0.0333358333334
EL150800460640,Train,Train,6C(40%)-3.6C,5,2,5,4,4,1,4,1,4,1,4,1,4,1,4,1,4,1,1.0801555,1.079135775,0.00075851,0.000860840314388,0.0023189,1.079098425,0.00065477,0.0019832,0.016160037,0.01618881675,-2.66939e-05,-7.9425e-05,36.04952025,32.9943189932,30.36882125,10.0964495833,1.51666666445e-05
EL150800460641,Train,Train,5.2C(58%)-4C,5,2,5,4,4,1,4,1,4,1,4,1,4,1,4,1,4,1,1.0819733,1.080680325,0.00108827,0.0012868676299,0.0029213,1.080942,0.0010445,0.0031357,0.01752685,0.0176152875,-6.38428e-05,-0.000168286,36.0663565,32.8123666341,30.50496775,10.1167116667,-0.0250190000001
EL150800460642,Prim. Test,Primary,7C(30%)-3.6C,5,2,5,4,4,1,4,1,4,1,4,1,4,1,4,1,4,1,1.084457,1.0833251,0.00087092,0.000998484584258,0.0026797,1.083608825,0.00083611,0.0025398,0.016645426,0.01669069875,-2.85191e-05,-9.8173e-05,36.79688525,33.3447992572,30.3925505,10.2544125,0.0247366666667
EL150800460644,Prim. Test,Primary,6C(40%)-3C,5,2,5,4,4,1,4,1,4,1,4,1,4,1,4,1,4,1,1.0817964,1.080800125,0.00076631,0.000875833769545,0.0023427,1.0809066,0.00072622,0.0022321,0.016540771,0.016574693,-2.86868e-05,-8.5565e-05,35.0735885,32.5968149928,30.3827685,11.1793516667,-0.000107333333338
EL150800460647,Prim. Test,Primary,7C(40%)-3C,5,2,5,4,4,1,4,1,4,1,4,1,4,1,4,1,4,1,1.0817143,1.080502575,0.00090251,0.00102365167263,0.0027529,1.08086845,0.00086832,0.0026372,0.016741274,0.016796261,-3.99346e-05,-0.000115599,36.45879,32.9779839369,30.29614725,12.09587,-0.0331276666667
EL150800460649,Prim. Test,Primary,5.6C(47%)-4C,5,2,5,4,4,1,4,1,4,1,4,1,4,1,4,1,4,1,1.0726807,1.0713717,0.00102334,0.00120660324672,0.002731,1.071427175,0.00096999,0.0029538,0.017699806,0.0177507295,-5.25138e-05,-0.00014721,35.97916225,32.1409929709,29.7837895,10.1402366667,-0.0168366666667
EL150800460652,Prim. Test,Primary,4.4C(8%)-4.85C,5,2,5,4,4,1,4,1,4,1,4,1,4,1,4,1,4,1,1.0864058,1.085002675,0.00109335,0.00124746184185,0.0033015,1.08460155,0.00113244,0.0034264,0.017187012,0.01746346675,-0.0001087629,-0.00035847,36.60324775,32.7347503871,30.4023665,10.1604904167,-0.0249121666666
EL150800460653,Prim. Test,Primary,5.4C(50%)-3.6C,5,2,5,4,4,1,4,1,4,1,4,1,4,1,4,1,4,1,1.0840898,1.082749875,0.00097439,0.00109618614153,0.0029234,1.08211985,0.00096658,0.002919,0.01671469,0.01677293,-3.84466e-05,-0.00011616,35.60248375,32.388840924,29.80354325,10.1172620833,0.00828816666666
EL150800460655,Train,Train,3.6C(22%)-5.5C,5,2,5,4,4,1,4,1,4,1,4,1,4,1,4,1,4,1,1.0752395,1.074180075,0.00073715,0.000844439702924,0.0023422,1.073522925,0.00075617,0.0023477,0.016699344,0.01677891375,-8.09059e-05,-0.00023671,36.60637775,32.8516322103,30.25266225,10.11263,0.0234689999999
EL150800460656,Prim. Test,Primary,8C(15%)-3.6C,5,2,5,4,4,1,4,1,4,1,4,1,4,1,4,1,4,1,1.0863998,1.085405175,0.00080785,0.000931664731475,0.002444,1.0854614,0.00077704,0.0023595,0.016614765,0.01664339,-2.48958e-05,-7.0939e-05,36.0891075,32.7876829925,29.84560625,10.2420641667,-0.0248696666667
EL150800460659,Train,Train,5.4C(80%)-5.4C,5,2,5,4,4,1,4,1,4,1,4,1,4,1,4,1,4,1,1.090127,1.0890323,0.00082238,0.000930566040107,0.0024756,1.08933345,0.00076256,0.0023527,0.01630171,0.016328821,-2.57816e-05,-7.4677e-05,35.9830705,33.0654232039,30.45586675,10.7651075,5.70000000121e-05
EL150800460673,Prim. Test,Primary,2C(7%)-5.5C,5,2,5,4,4,1,4,1,4,1,4,1,4,1,4,1,4,1,1.068211,1.067805725,0.00049871,0.000639938342245,0.0013601,1.067120175,0.00046685,0.001261,0.016511453,0.0167521875,-0.0001258096,-0.000314491,38.0975255,33.3561222914,30.08154575,10.1348358333,-0.00166333333337
EL150800460678,Prim. Test,Primary,6C(52%)-3.5C,5,2,5,4,4,1,4,1,4,1,4,1,4,1,4,1,4,1,1.0759063,1.074481325,0.00106395,0.00121515951911,0.0032925,1.07410335,0.00110484,0.0034257,0.017683174,0.0177047605,-2.39594e-05,-6.8844e-05,36.108038,32.3234113859,29.98772975,10.1594908333,0.025202
EL150800463198,Prim. Test,Primary,6C(30%)-3.6C,5,2,5,4,4,1,4,1,4,1,4,1,4,1,4,1,4,1,1.0812072,1.0802834,0.00070188,0.000802626778148,0.0021611,1.080659075,0.00062561,0.0019108,0.016097471,0.01612698025,-2.64575e-05,-7.713e-05,37.085201,33.7831479022,30.771607,10.80527375,-5.55000000046e-05
EL150800463208,Train,Train,4C(40%)-6C,5,2,5,4,4,1,4,1,4,1,4,1,4,1,4,1,4,1,1.0827806,1.081777075,0.00082969,0.000959273395271,0.0024956,1.08160615,0.00085856,0.0026209,0.016812934,0.0169789615,-8.54748e-05,-0.000274341,37.44694175,33.2753341992,30.3518085,10.2438704167,-0.0288585
EL150800463229,Train,Train,7C(30%)-3.6C,5,2,5,4,4,1,4,1,4,1,4,1,4,1,4,1,4,1,1.086074,1.084850425,0.00091287,0.00103403092162,0.0027711,1.08541795,0.00082922,0.0025398,0.016651146,0.0167062675,-3.14648e-05,-0.000105322,37.297391,33.3654418249,30.35525375,12.0753383333,-0.025375
EL150800463245,Prim. Test,Primary,4.65C(44%)-5C,5,2,5,4,4,1,4,1,4,1,4,1,4,1,4,1,4,1,1.0828061,1.0815473,0.0010246,0.00117996276424,0.0030831,1.081392525,0.00107723,0.0032517,0.01710158,0.01721536225,-6.82819e-05,-0.000237251,35.0276165,32.0553812752,30.039356,10.1349325,-0.0249700000001
EL150800463838,Prim. Test,Primary,5.4C(50%)-3C,5,2,5,4,4,1,4,1,4,1,4,1,4,1,4,1,4,1,1.0733926,1.072237425,0.00076535,0.000869968382687,0.0024265,1.071518175,0.00075143,0.0024072,0.017056193,0.017083801,-2.0153e-05,-6.4993e-05,36.53262225,33.2169184392,30.257655,10.7646783333,0.000736333333325
