barcode,dataset_table9,batch_date_table9,cycle_life_table9,policy_table9,C1,Q1_percent,C2,local_fragment_count,local_source_files,local_batch_indices
EL150800460510,Prim. Test,2017-06-30,458,4C(31%)-5C,4.0,31.0,5.0,1,data_2.xlsx,13
EL150800460511,Train,2017-06-30,478,5.6C(38%)-4.25C,5.6,38.0,4.25,1,data_2.xlsx,38
EL150800460513,Train,2017-06-30,429,5.6C(65%)-3C,5.6,65.0,3.0,1,data_2.xlsx,42
EL150800460514,Prim. Test,2017-05-12,1852,3.6C(80%)-3.6C,3.6,80.0,3.6,2,data_1.xlsx;data_2.xlsx,1;8
EL150800460518,Train,2017-06-30,300,1C(4%)-6C,1.0,4.0,6.0,1,data_2.xlsx,1
EL150800460522,Train,2017-05-12,857,5.4C(50%)-3.6C,5.4,50.0,3.6,1,data_1.xlsx,18
EL150800460525,Train,2017-05-12,742,6C(50%)-3C,6.0,50.0,3.0,1,data_1.xlsx,35
EL150800460526,Prim. Test,2017-06-30,499,5.6C(5%)-4.75C,5.6,5.0,4.75,1,data_2.xlsx,41
EL150800460527,Prim. Test,2017-06-30,481,5.2C(10%)-4.75C,5.2,10.0,4.75,1,data_2.xlsx,31
EL150800460528,Prim. Test,2017-06-30,535,5.6C(25%)-4.5C,5.6,25.0,4.5,1,data_2.xlsx,37
EL150800460596,Prim. Test,2017-06-30,471,4.8C(80%)-4.8C,4.8,80.0,4.8,1,data_2.xlsx,27
EL150800460597,Prim. Test,2017-06-30,495,4.8C(80%)-4.8C,4.8,80.0,4.8,1,data_2.xlsx,25
EL150800460599,Prim. Test,2017-06-30,713,6C(60%)-3C,6.0,60.0,3.0,1,data_2.xlsx,48
EL150800460601,Prim. Test,2017-05-12,648,6C(60%)-3C,6.0,60.0,3.0,1,data_1.xlsx,38
EL150800460602,Train,2017-06-30,438,2C(2%)-5C,2.0,2.0,5.0,1,data_2.xlsx,3
EL150800460603,Train,2017-06-30,489,4.65C(19%)-4.85C,4.65,19.0,4.85,1,data_2.xlsx,22
EL150800460604,Train,2017-06-30,498,4.9C(69%)-4.25C,4.9,69.0,4.25,1,data_2.xlsx,30
EL150800460605,Prim. Test,2017-06-30,148,2C(10%)-6C,2.0,10.0,6.0,1,data_2.xlsx,2
EL150800460608,Train,2017-06-30,492,5.2C(37%)-4.5C,5.2,37.0,4.5,1,data_2.xlsx,32
EL150800460610,Prim. Test,2017-06-30,509,4.9C(61%)-4.5C,4.9,61.0,4.5,1,data_2.xlsx,29
EL150800460611,Train,2017-06-30,461,4.8C(80%)-4.8C,4.8,80.0,4.8,1,data_2.xlsx,26
EL150800460613,Train,2017-06-30,487,6C(4%)-4.75C,6.0,4.0,4.75,1,data_2.xlsx,46
EL150800460614,Train,2017-06-30,468,4.9C(27%)-4.75C,4.9,27.0,4.75,1,data_2.xlsx,28
EL150800460615,Train,2017-05-12,709,6C(40%)-3C,6.0,40.0,3.0,1,data_1.xlsx,31
EL150800460617,Prim. Test,2017-05-12,854,5.4C(80%)-5.4C,5.4,80.0,5.4,1,data_1.xlsx,26
EL150800460618,Train,2017-05-12,702,7C(40%)-3C,7.0,40.0,3.0,1,data_1.xlsx,43
EL150800460622,Prim. Test,2017-05-12,703,6C(50%)-3.6C,6.0,50.0,3.6,1,data_1.xlsx,36
EL150800460623,Prim. Test,2017-05-12,2237,3.6C(80%)-3.6C,3.6,80.0,3.6,2,data_1.xlsx;data_2.xlsx,3;10
EL150800460627,Train,2017-06-30,459,5.6C(58%)-3.5C,5.6,58.0,3.5,1,data_2.xlsx,40
EL150800460628,Train,2017-06-30,463,5.2C(71%)-3C,5.2,71.0,3.0,1,data_2.xlsx,36
EL150800460630,Train,2017-05-12,1017,5.4C(70%)-3C,5.4,70.0,3.0,1,data_1.xlsx,25
EL150800460631,Prim. Test,2017-06-30,519,5.2C(50%)-4.25C,5.2,50.0,4.25,1,data_2.xlsx,33
EL150800460634,Train,2017-06-30,511,3.6C(30%)-6C,3.6,30.0,6.0,1,data_2.xlsx,7
EL150800460635,Prim. Test,2017-06-30,480,3.6C(2%)-4.85C,3.6,2.0,4.85,1,data_2.xlsx,6
EL150800460636,Prim. Test,2017-05-12,651,7C(40%)-3.6C,7.0,40.0,3.6,1,data_1.xlsx,44
EL150800460640,Train,2017-05-12,731,6C(40%)-3.6C,6.0,40.0,3.6,1,data_1.xlsx,33
EL150800460641,Train,2017-06-30,520,5.2C(58%)-4C,5.2,58.0,4.0,1,data_2.xlsx,34
EL150800460642,Prim. Test,2017-05-12,625,7C(30%)-3.6C,7.0,30.0,3.6,1,data_1.xlsx,40
EL150800460644,Prim. Test,2017-05-12,917,6C(40%)-3C,6.0,40.0,3.0,1,data_1.xlsx,30
EL150800460647,Prim. Test,2017-05-12,1051,7C(40%)-3C,7.0,40.0,3.0,1,data_1.xlsx,42
EL150800460649,Prim. Test,2017-06-30,465,5.6C(47%)-4C,5.6,47.0,4.0,1,data_2.xlsx,39
EL150800460652,Prim. Test,2017-06-30,502,4.4C(8%)-4.85C,4.4,8.0,4.85,1,data_2.xlsx,21
EL150800460653,Prim. Test,2017-05-12,862,5.4C(50%)-3.6C,5.4,50.0,3.6,1,data_1.xlsx,17
EL150800460655,Train,2017-06-30,444,3.6C(22%)-5.5C,3.6,22.0,5.5,1,data_2.xlsx,5
EL150800460656,Prim. Test,2017-05-12,599,8C(15%)-3.6C,8.0,15.0,3.6,1,data_1.xlsx,46
EL150800460659,Train,2017-05-12,870,5.4C(80%)-5.4C,5.4,80.0,5.4,1,data_1.xlsx,27
EL150800460673,Prim. Test,2017-06-30,335,2C(7%)-5.5C,2.0,7.0,5.5,1,data_2.xlsx,4
EL150800460678,Prim. Test,2017-06-30,429,6C(52%)-3.5C,6.0,52.0,3.5,1,data_2.xlsx,47
EL150800463198,Prim. Test,2017-05-12,842,6C(30%)-3.6C,6.0,30.0,3.6,1,data_1.xlsx,28
EL150800463208,Train,2017-06-30,483,4C(40%)-6C,4.0,40.0,6.0,1,data_2.xlsx,14
EL150800463229,Train,2017-05-12,966,7C(30%)-3.6C,7.0,30.0,3.6,1,data_1.xlsx,41
EL150800463245,Prim. Test,2017-06-30,513,4.65C(44%)-5C,4.65,44.0,5.0,1,data_2.xlsx,23
EL150800463838,Prim. Test,2017-05-12,880,5.4C(50%)-3C,5.4,50.0,3.0,1,data_1.xlsx,15
EL150800463871,Train,2017-05-12,559,5.4C(60%)-3.6C,5.4,60.0,3.6,1,data_1.xlsx,22
EL150800463882,Train,2017-05-12,788,5.4C(40%)-3.6C,5.4,40.0,3.6,1,data_1.xlsx,12
EL150800463886,Prim. Test,2017-05-12,636,4.8C(80%)-4.8C,4.8,80.0,4.8,1,data_1.xlsx,7
EL150800464002,Prim. Test,2017-05-12,534,5.4C(60%)-3.6C,5.4,60.0,3.6,1,data_1.xlsx,21
EL150800464865,Prim. Test,2017-05-12,1709,4C(80%)-4C,4.0,80.0,4.0,2,data_1.xlsx;data_2.xlsx,5;17
EL150800464881,Train,2017-05-12,788,5.4C(60%)-3C,5.4,60.0,3.0,1,data_1.xlsx,20
EL150800464883,Train,2017-05-12,1074,4.4C(80%)-4.4C,4.4,80.0,4.4,1,data_1.xlsx,6
EL150800464977,Train,2017-05-12,1434,4C(80%)-4C,4.0,80.0,4.0,2,data_1.xlsx;data_2.xlsx,4;16
EL150800465027,Train,2017-05-12,870,4.8C(80%)-4.8C,4.8,80.0,4.8,1,data_1.xlsx,8
EL150800737213,Sec. test,2018-04-12,828,5.6C(36%)-4.3C,5.6,36.0,4.3,1,data_3.xlsx,6
EL150800737229,Sec. test,2018-04-12,667,3.7C(31%)-5.9C,3.7,31.0,5.9,1,data_3.xlsx,7
EL150800737233,Sec. test,2018-04-12,828,5C(67%)-4C,5.0,67.0,4.0,1,data_3.xlsx,9
EL150800737234,Sec. test,2018-04-12,541,3.7C(31%)-5.9C,3.7,31.0,5.9,1,data_3.xlsx,29
EL150800737251,Sec. test,2018-04-12,850,5.6C(36%)-4.3C,5.6,36.0,4.3,1,data_3.xlsx,28
EL150800737259,Sec. test,2018-04-12,989,5.3C(54%)-4C,5.3,54.0,4.0,1,data_3.xlsx,26
EL150800737270,Sec. test,2018-04-12,1039,5.3C(54%)-4C,5.3,54.0,4.0,1,data_3.xlsx,10
EL150800737274,Sec. test,2018-04-12,1146,5.6C(19%)-4.6C,5.6,19.0,4.6,1,data_3.xlsx,19
EL150800737275,Sec. test,2018-04-12,1155,5.6C(36%)-4.3C,5.6,36.0,4.3,1,data_3.xlsx,20
EL150800737276,Sec. test,2018-04-12,817,5.6C(19%)-4.6C,5.6,19.0,4.6,1,data_3.xlsx,12
EL150800737277,Sec. test,2018-04-12,1078,4.36C(80%)-4.36C,4.36,80.0,4.36,1,data_3.xlsx,11
EL150800737279,Sec. test,2018-04-12,731,5.9C(60%)-3.1C,5.9,60.0,3.1,1,data_3.xlsx,32
EL150800737280,Sec. test,2018-04-12,1115,5.6C(36%)-4.3C,5.6,36.0,4.3,1,data_3.xlsx,4
EL150800737285,Sec. test,2018-04-12,1002,5.9C(60%)-3.1C,5.9,60.0,3.1,1,data_3.xlsx,23
EL150800737287,Sec. test,2018-04-12,1028,5.6C(19%)-4.6C,5.6,19.0,4.6,1,data_3.xlsx,27
EL150800737304,Sec. test,2018-04-12,1284,5C(67%)-4C,5.0,67.0,4.0,1,data_3.xlsx,34
EL150800737307,Sec. test,2018-04-12,1836,4.36C(80%)-4.36C,4.36,80.0,4.36,1,data_3.xlsx,8
EL150800737313,Sec. test,2018-04-12,1063,5.3C(54%)-4C,5.3,54.0,4.0,1,data_3.xlsx,2
EL150800737314,Sec. test,2018-04-12,932,5.6C(36%)-4.3C,5.6,36.0,4.3,1,data_3.xlsx,13
EL150800737315,Sec. test,2018-04-12,813,5C(67%)-4C,5.0,67.0,4.0,1,data_3.xlsx,21
EL150800737319,Sec. test,2018-04-12,816,5.6C(19%)-4.6C,5.6,19.0,4.6,1,data_3.xlsx,14
EL150800737320,Sec. test,2018-04-12,858,5.9C(15%)-4.6C,5.9,15.0,4.6,1,data_3.xlsx,30
EL150800737329,Sec. test,2018-04-12,1009,5C(67%)-4C,5.0,67.0,4.0,1,data_3.xlsx,1
EL150800737334,Sec. test,2018-04-12,1935,5C(67%)-4C,5.0,67.0,4.0,1,data_3.xlsx,39
EL150800737345,Sec. test,2018-04-12,1638,4.36C(80%)-4.36C,4.36,80.0,4.36,1,data_3.xlsx,17
EL150800737350,Sec. test,2018-04-12,1158,5.3C(54%)-4C,5.3,54.0,4.0,1,data_3.xlsx,35
EL150800737361,Sec. test,2018-04-12,1156,5.3C(54%)-4C,5.3,54.0,4.0,1,data_3.xlsx,40
EL150800737365,Sec. test,2018-04-12,923,5.6C(36%)-4.3C,5.6,36.0,4.3,1,data_3.xlsx,37
EL150800737366,Sec. test,2018-04-12,772,3.7C(31%)-5.9C,3.7,31.0,5.9,1,data_3.xlsx,22
EL150800737368,Sec. test,2018-04-12,825,5C(67%)-4C,5.0,67.0,4.0,1,data_3.xlsx,25
EL150800737369,Sec. test,2018-04-12,940,5.3C(54%)-4C,5.3,54.0,4.0,1,data_3.xlsx,45
EL150800737378,Sec. test,2018-04-12,1315,5.3C(54%)-4C,5.3,54.0,4.0,1,data_3.xlsx,18
EL150800737380,Sec. test,2018-04-12,935,5.3C(54%)-4C,5.3,54.0,4.0,1,data_3.xlsx,31
EL150800737386,Sec. test,2018-04-12,876,5.9C(15%)-4.6C,5.9,15.0,4.6,1,data_3.xlsx,16
EL150800737387,Sec. test,2018-04-12,858,5.6C(36%)-4.3C,5.6,36.0,4.3,1,data_3.xlsx,15
EL150800737390,Sec. test,2018-04-12,796,5.6C(19%)-4.6C,5.6,19.0,4.6,1,data_3.xlsx,41
EL150800739476,Sec. test,2018-04-12,1048,5.6C(19%)-4.6C,5.6,19.0,4.6,1,data_3.xlsx,5
EL150800739477,Sec. test,2018-04-12,1093,5.6C(19%)-4.6C,5.6,19.0,4.6,1,data_3.xlsx,36
EL150800739484,Sec. test,2018-04-12,1801,4.36C(80%)-4.36C,4.36,80.0,4.36,1,data_3.xlsx,46
EL150800739495,Sec. test,2018-04-12,786,5.6C(36%)-4.3C,5.6,36.0,4.3,1,data_3.xlsx,42
