barcode,dataset_table9,batch_date_table9,cycle_life_table9,policy_table9,C1,Q1_percent,C2,local_fragment_count,local_source_files,local_batch_indices,q2_pred_log_life,q2_source,q3_pred_log_life_k100,q3_source,q3_pred_soh_nom_120,actual_soh_nom_120_audit,tau_0_80_min,evidence_role
EL150800460478,Train,2017-06-30,494,4.4C(24%)-5C,4.4,24.0,5.0,1,data_2.xlsx,18,6.0903285110058,Train_policy_group_OOF,6.380702404271071,Train_policy_group_OOF,0.9751577106193688,0.970028727273,9.992727272727272,cross_fitted_development_evidence
EL150800460480,Prim. Test,2017-06-30,487,4.4C(47%)-5.5C,4.4,47.0,5.5,1,data_2.xlsx,19,6.057603137215827,Primary_frozen_confirmation,6.047501872079524,Primary_frozen_confirmation,0.9608454848291974,0.959559181818,10.009090909090908,restricted_confirmation_evidence
EL150800460481,Prim. Test,2017-05-12,876,6C(40%)-3.6C,6.0,40.0,3.6,1,data_1.xlsx,32,6.664490239674173,Primary_frozen_confirmation,6.553491281796006,Primary_frozen_confirmation,0.9949550436683168,0.993793,10.666666666666668,restricted_confirmation_evidence
EL150800460485,Train,2017-05-12,616,7C(40%)-3.6C,7.0,40.0,3.6,1,data_1.xlsx,45,6.515438974557321,Train_policy_group_OOF,6.242230768087269,Train_policy_group_OOF,0.984642385155614,0.985298454545,10.095238095238097,cross_fitted_development_evidence
EL150800460486,Train,2017-05-12,2160,3.6C(80%)-3.6C,3.6,80.0,3.6,2,data_1.xlsx;data_2.xlsx,2;9,6.417263355260082,Train_policy_group_OOF,7.131220133571053,Train_policy_group_OOF,0.982390636364,0.982120727273,13.333333333333334,cross_fitted_development_evidence
EL150800460492,Prim. Test,2017-06-30,499,5.2C(66%)-3.5C,5.2,66.0,3.5,1,data_2.xlsx,35,6.581012075363192,Primary_frozen_confirmation,6.180158322741918,Primary_frozen_confirmation,0.9754583275173466,0.976283727273,10.015384615384615,restricted_confirmation_evidence
EL150800460498,Train,2017-06-30,462,6C(31%)-4.25C,6.0,31.0,4.25,1,data_2.xlsx,44,6.408594561123562,Train_policy_group_OOF,6.067892527872482,Train_policy_group_OOF,0.978897760392682,0.979719181818,10.017647058823531,cross_fitted_development_evidence
EL150800460501,Train,2017-06-30,527,4.65C(69%)-6C,4.65,69.0,6.0,1,data_2.xlsx,24,6.260712321957839,Train_policy_group_OOF,6.19281720134386,Train_policy_group_OOF,0.972515609856894,0.971969363636,10.003225806451614,cross_fitted_development_evidence
EL150800460506,Train,2017-05-12,704,6C(50%)-3.6C,6.0,50.0,3.6,1,data_1.xlsx,37,6.505745467106684,Train_policy_group_OOF,6.96066755054316,Train_policy_group_OOF,0.982037363636,0.981420636364,10.000000000000002,cross_fitted_development_evidence
EL150800460507,Train,2017-05-12,860,6C(30%)-3.6C,6.0,30.0,3.6,1,data_1.xlsx,29,6.443416074413717,Train_policy_group_OOF,6.677862382347716,Train_policy_group_OOF,0.98107067380067,0.981020363636,11.333333333333332,cross_fitted_development_evidence
EL150800460510,Prim. Test,2017-06-30,458,4C(31%)-5C,4.0,31.0,5.0,1,data_2.xlsx,13,6.1544979636012505,Primary_frozen_confirmation,6.136720471642002,Primary_frozen_confirmation,0.962453364855816,0.959121272727,10.53,restricted_confirmation_evidence
EL150800460511,Train,2017-06-30,478,5.6C(38%)-4.25C,5.6,38.0,4.25,1,data_2.xlsx,38,6.253926080517124,Train_policy_group_OOF,6.293546882459751,Train_policy_group_OOF,0.9813520481847872,0.982467909091,10.000840336134456,cross_fitted_development_evidence
EL150800460513,Train,2017-06-30,429,5.6C(65%)-3C,5.6,65.0,3.0,1,data_2.xlsx,42,6.596513371904654,Train_policy_group_OOF,6.1653269471534005,Train_policy_group_OOF,0.973972991872364,0.975053818182,9.964285714285715,cross_fitted_development_evidence
EL150800460514,Prim. Test,2017-05-12,1852,3.6C(80%)-3.6C,3.6,80.0,3.6,2,data_1.xlsx;data_2.xlsx,1;8,7.488894356057079,Primary_frozen_confirmation,7.113612455275868,Primary_frozen_confirmation,0.978102363636,0.977626181818,13.333333333333334,restricted_confirmation_evidence
EL150800460518,Train,2017-06-30,300,1C(4%)-6C,1.0,4.0,6.0,1,data_2.xlsx,1,5.788924738724773,Train_policy_group_OOF,6.360924043714324,Train_policy_group_OOF,0.943079058297896,0.935368727273,10.000000000000002,cross_fitted_development_evidence
EL150800460522,Train,2017-05-12,857,5.4C(50%)-3.6C,5.4,50.0,3.6,1,data_1.xlsx,18,6.461855433169911,Train_policy_group_OOF,6.403821832533532,Train_policy_group_OOF,0.9772675049742772,0.978713272727,10.555555555555555,cross_fitted_development_evidence
EL150800460525,Train,2017-05-12,742,6C(50%)-3C,6.0,50.0,3.0,1,data_1.xlsx,35,6.469583943443717,Train_policy_group_OOF,6.555032588125831,Train_policy_group_OOF,0.9803506796096652,0.980681909091,11.0,cross_fitted_development_evidence
EL150800460526,Prim. Test,2017-06-30,499,5.6C(5%)-4.75C,5.6,5.0,4.75,1,data_2.xlsx,41,6.198740265161012,Primary_frozen_confirmation,6.235105830581606,Primary_frozen_confirmation,0.9802682037256442,0.979776636364,10.009398496240602,restricted_confirmation_evidence
EL150800460527,Prim. Test,2017-06-30,481,5.2C(10%)-4.75C,5.2,10.0,4.75,1,data_2.xlsx,31,6.16129087728236,Primary_frozen_confirmation,6.177699646998757,Primary_frozen_confirmation,0.9723980563503252,0.972540181818,9.995951417004049,restricted_confirmation_evidence
EL150800460528,Prim. Test,2017-06-30,535,5.6C(25%)-4.5C,5.6,25.0,4.5,1,data_2.xlsx,37,6.067454584522209,Primary_frozen_confirmation,5.678639612562669,Primary_frozen_confirmation,0.9826319737818072,0.985709090909,10.011904761904763,restricted_confirmation_evidence
EL150800460596,Prim. Test,2017-06-30,471,4.8C(80%)-4.8C,4.8,80.0,4.8,1,data_2.xlsx,27,6.65682950995369,Primary_frozen_confirmation,6.164979187250927,Primary_frozen_confirmation,0.9779274768548276,0.977162909091,10.000000000000002,restricted_confirmation_evidence
EL150800460597,Prim. Test,2017-06-30,495,4.8C(80%)-4.8C,4.8,80.0,4.8,1,data_2.xlsx,25,6.65682950995369,Primary_frozen_confirmation,6.396617317176308,Primary_frozen_confirmation,0.9718047046877226,0.972625363636,10.000000000000002,restricted_confirmation_evidence
EL150800460599,Prim. Test,2017-06-30,713,6C(60%)-3C,6.0,60.0,3.0,1,data_2.xlsx,48,6.294911617339023,Primary_frozen_confirmation,6.062471201316803,Primary_frozen_confirmation,0.9505318320167404,0.950422272727,10.000000000000002,restricted_confirmation_evidence
EL150800460601,Prim. Test,2017-05-12,648,6C(60%)-3C,6.0,60.0,3.0,1,data_1.xlsx,38,6.294911617339023,Primary_frozen_confirmation,6.797914226162527,Primary_frozen_confirmation,0.9784125306456534,0.978106909091,10.000000000000002,restricted_confirmation_evidence
EL150800460602,Train,2017-06-30,438,2C(2%)-5C,2.0,2.0,5.0,1,data_2.xlsx,3,6.08157109254746,Train_policy_group_OOF,6.2017697188386665,Train_policy_group_OOF,0.9771073410325148,0.976273818182,9.96,cross_fitted_development_evidence
EL150800460603,Train,2017-06-30,489,4.65C(19%)-4.85C,4.65,19.0,4.85,1,data_2.xlsx,22,6.2772780919787765,Train_policy_group_OOF,6.100953514865726,Train_policy_group_OOF,0.9777744167464903,0.976471545455,9.998004655803127,cross_fitted_development_evidence
EL150800460604,Train,2017-06-30,498,4.9C(69%)-4.25C,4.9,69.0,4.25,1,data_2.xlsx,30,6.263825278272678,Train_policy_group_OOF,6.3206399278429295,Train_policy_group_OOF,0.979822280200234,0.979923727273,10.001920768307322,cross_fitted_development_evidence
EL150800460605,Prim. Test,2017-06-30,148,2C(10%)-6C,2.0,10.0,6.0,1,data_2.xlsx,2,6.098740071279526,Primary_frozen_confirmation,4.411044244020222,Primary_frozen_confirmation,,,10.000000000000002,restricted_confirmation_evidence
EL150800460608,Train,2017-06-30,492,5.2C(37%)-4.5C,5.2,37.0,4.5,1,data_2.xlsx,32,6.161263492600457,Train_policy_group_OOF,6.355877915694638,Train_policy_group_OOF,0.9791371434530328,0.979428727273,10.002564102564103,cross_fitted_development_evidence
EL150800460610,Prim. Test,2017-06-30,509,4.9C(61%)-4.5C,4.9,61.0,4.5,1,data_2.xlsx,29,5.846031716775458,Primary_frozen_confirmation,6.291962605464421,Primary_frozen_confirmation,0.9767145197730848,0.977253454545,10.002721088435376,restricted_confirmation_evidence
EL150800460611,Train,2017-06-30,461,4.8C(80%)-4.8C,4.8,80.0,4.8,1,data_2.xlsx,26,6.800846716988247,Train_policy_group_OOF,6.539661240648529,Train_policy_group_OOF,0.9695921074229774,0.96855,10.000000000000002,cross_fitted_development_evidence
EL150800460613,Train,2017-06-30,487,6C(4%)-4.75C,6.0,4.0,4.75,1,data_2.xlsx,46,6.276498157912032,Train_policy_group_OOF,6.302707647968904,Train_policy_group_OOF,0.9740082859339833,0.974183727273,10.0,cross_fitted_development_evidence
EL150800460614,Train,2017-06-30,468,4.9C(27%)-4.75C,4.9,27.0,4.75,1,data_2.xlsx,28,6.095485661829466,Train_policy_group_OOF,6.277088492787576,Train_policy_group_OOF,0.9709417921183172,0.970763181818,10.000859291084854,cross_fitted_development_evidence
EL150800460615,Train,2017-05-12,709,6C(40%)-3C,6.0,40.0,3.0,1,data_1.xlsx,31,6.701190211960032,Train_policy_group_OOF,6.55752093820486,Train_policy_group_OOF,0.9819880528894188,0.982214181818,12.0,cross_fitted_development_evidence
EL150800460617,Prim. Test,2017-05-12,854,5.4C(80%)-5.4C,5.4,80.0,5.4,1,data_1.xlsx,26,6.579164812967197,Primary_frozen_confirmation,6.905220675874545,Primary_frozen_confirmation,0.9797885493471,0.979450636364,8.88888888888889,restricted_confirmation_evidence
EL150800460618,Train,2017-05-12,702,7C(40%)-3C,7.0,40.0,3.0,1,data_1.xlsx,43,6.470929045619533,Train_policy_group_OOF,6.644349881402411,Train_policy_group_OOF,0.9838276822324732,0.984202181818,11.428571428571427,cross_fitted_development_evidence
EL150800460622,Prim. Test,2017-05-12,703,6C(50%)-3.6C,6.0,50.0,3.6,1,data_1.xlsx,36,6.516371574760622,Primary_frozen_confirmation,6.600361021569904,Primary_frozen_confirmation,0.9756688101732128,0.975877818182,10.000000000000002,restricted_confirmation_evidence
EL150800460623,Prim. Test,2017-05-12,2237,3.6C(80%)-3.6C,3.6,80.0,3.6,2,data_1.xlsx;data_2.xlsx,3;10,7.488894356057079,Primary_frozen_confirmation,7.403130642068082,Primary_frozen_confirmation,0.986309454545,0.985994272727,13.333333333333334,restricted_confirmation_evidence
EL150800460627,Train,2017-06-30,459,5.6C(58%)-3.5C,5.6,58.0,3.5,1,data_2.xlsx,40,6.569616878427052,Train_policy_group_OOF,6.330975975986778,Train_policy_group_OOF,0.9867071135895072,0.986781909091,9.985714285714286,cross_fitted_development_evidence
EL150800460628,Train,2017-06-30,463,5.2C(71%)-3C,5.2,71.0,3.0,1,data_2.xlsx,36,6.885164572822333,Train_policy_group_OOF,6.243731322246632,Train_policy_group_OOF,0.9729200626109836,0.972732090909,9.992307692307692,cross_fitted_development_evidence
EL150800460630,Train,2017-05-12,1017,5.4C(70%)-3C,5.4,70.0,3.0,1,data_1.xlsx,25,6.513531328721767,Train_policy_group_OOF,7.018017425267137,Train_policy_group_OOF,0.979664909091,0.979219,9.777777777777779,cross_fitted_development_evidence
EL150800460631,Prim. Test,2017-06-30,519,5.2C(50%)-4.25C,5.2,50.0,4.25,1,data_2.xlsx,33,6.10412859868748,Primary_frozen_confirmation,6.209531754554352,Primary_frozen_confirmation,0.9800304937389368,0.979588727273,10.00452488687783,restricted_confirmation_evidence
EL150800460634,Train,2017-06-30,511,3.6C(30%)-6C,3.6,30.0,6.0,1,data_2.xlsx,7,6.382537176910632,Train_policy_group_OOF,6.079095813166775,Train_policy_group_OOF,0.9554082921531476,0.950255090909,10.0,cross_fitted_development_evidence
EL150800460635,Prim. Test,2017-06-30,480,3.6C(2%)-4.85C,3.6,2.0,4.85,1,data_2.xlsx,6,6.436965700095495,Primary_frozen_confirmation,6.345481460312254,Primary_frozen_confirmation,0.9717647606059536,0.972119363636,9.98281786941581,restricted_confirmation_evidence
EL150800460636,Prim. Test,2017-05-12,651,7C(40%)-3.6C,7.0,40.0,3.6,1,data_1.xlsx,44,6.63272339380449,Primary_frozen_confirmation,6.696152481805993,Primary_frozen_confirmation,0.9711221868052022,0.970800181818,10.095238095238097,restricted_confirmation_evidence
EL150800460640,Train,2017-05-12,731,6C(40%)-3.6C,6.0,40.0,3.6,1,data_1.xlsx,33,6.723865990647576,Train_policy_group_OOF,6.508358546653299,Train_policy_group_OOF,0.9803092958046278,0.980542454545,10.666666666666668,cross_fitted_development_evidence
EL150800460641,Train,2017-06-30,520,5.2C(58%)-4C,5.2,58.0,4.0,1,data_2.xlsx,34,6.299545056613561,Train_policy_group_OOF,6.250854618838636,Train_policy_group_OOF,0.9852306159907276,0.985408909091,9.992307692307692,cross_fitted_development_evidence
EL150800460642,Prim. Test,2017-05-12,625,7C(30%)-3.6C,7.0,30.0,3.6,1,data_1.xlsx,40,6.675840028305551,Primary_frozen_confirmation,6.465595543059018,Primary_frozen_confirmation,0.9841922981512884,0.985371181818,10.904761904761905,restricted_confirmation_evidence
EL150800460644,Prim. Test,2017-05-12,917,6C(40%)-3C,6.0,40.0,3.0,1,data_1.xlsx,30,6.5992603954648335,Primary_frozen_confirmation,6.717706093403094,Primary_frozen_confirmation,0.9829229861341796,0.982802090909,12.0,restricted_confirmation_evidence
EL150800460647,Prim. Test,2017-05-12,1051,7C(40%)-3C,7.0,40.0,3.0,1,data_1.xlsx,42,6.567493549595151,Primary_frozen_confirmation,6.906422923728694,Primary_frozen_confirmation,0.9835331341731948,0.983311909091,11.428571428571427,restricted_confirmation_evidence
EL150800460649,Prim. Test,2017-06-30,465,5.6C(47%)-4C,5.6,47.0,4.0,1,data_2.xlsx,39,6.327815125898403,Primary_frozen_confirmation,6.190205564479145,Primary_frozen_confirmation,0.975138577326812,0.976060909091,9.985714285714288,restricted_confirmation_evidence
EL150800460652,Prim. Test,2017-06-30,502,4.4C(8%)-4.85C,4.4,8.0,4.85,1,data_2.xlsx,21,6.296940865891719,Primary_frozen_confirmation,6.277801748890624,Primary_frozen_confirmation,0.9860327546558588,0.986039727273,9.998125585754455,restricted_confirmation_evidence
EL150800460653,Prim. Test,2017-05-12,862,5.4C(50%)-3.6C,5.4,50.0,3.6,1,data_1.xlsx,17,6.58654952256055,Primary_frozen_confirmation,6.578010836837963,Primary_frozen_confirmation,0.9868242936595472,0.987006454545,10.555555555555555,restricted_confirmation_evidence
EL150800460655,Train,2017-06-30,444,3.6C(22%)-5.5C,3.6,22.0,5.5,1,data_2.xlsx,5,6.308134788004316,Train_policy_group_OOF,6.28580423953105,Train_policy_group_OOF,0.9668379451800512,0.964618090909,9.993939393939396,cross_fitted_development_evidence
EL150800460656,Prim. Test,2017-05-12,599,8C(15%)-3.6C,8.0,15.0,3.6,1,data_1.xlsx,46,6.746345769927558,Primary_frozen_confirmation,6.49599835611486,Primary_frozen_confirmation,0.985556580416454,0.986372636364,11.958333333333332,restricted_confirmation_evidence
EL150800460659,Train,2017-05-12,870,5.4C(80%)-5.4C,5.4,80.0,5.4,1,data_1.xlsx,27,6.281047543734392,Train_policy_group_OOF,6.701317321613336,Train_policy_group_OOF,0.9895325021293284,0.989694090909,8.88888888888889,cross_fitted_development_evidence
EL150800460673,Prim. Test,2017-06-30,335,2C(7%)-5.5C,2.0,7.0,5.5,1,data_2.xlsx,4,6.016605840181881,Primary_frozen_confirmation,6.009224817395604,Primary_frozen_confirmation,0.9500591389349736,0.943196727273,10.063636363636363,restricted_confirmation_evidence
EL150800460678,Prim. Test,2017-06-30,429,6C(52%)-3.5C,6.0,52.0,3.5,1,data_2.xlsx,47,6.5045296202825975,Primary_frozen_confirmation,6.230784139631908,Primary_frozen_confirmation,0.980023800472116,0.980648,10.000000000000002,restricted_confirmation_evidence
EL150800463198,Prim. Test,2017-05-12,842,6C(30%)-3.6C,6.0,30.0,3.6,1,data_1.xlsx,28,6.707606874175234,Primary_frozen_confirmation,6.693579761232523,Primary_frozen_confirmation,0.9821657158903664,0.982144454545,11.333333333333332,restricted_confirmation_evidence
EL150800463208,Train,2017-06-30,483,4C(40%)-6C,4.0,40.0,6.0,1,data_2.xlsx,14,6.403742032656631,Train_policy_group_OOF,6.172085568982272,Train_policy_group_OOF,0.9729521955167706,0.970479545455,10.000000000000002,cross_fitted_development_evidence
EL150800463229,Train,2017-05-12,966,7C(30%)-3.6C,7.0,30.0,3.6,1,data_1.xlsx,41,6.551013209511798,Train_policy_group_OOF,6.937181977374006,Train_policy_group_OOF,0.9869017434707624,0.986640818182,10.904761904761905,cross_fitted_development_evidence
EL150800463245,Prim. Test,2017-06-30,513,4.65C(44%)-5C,4.65,44.0,5.0,1,data_2.xlsx,23,6.019922337178544,Primary_frozen_confirmation,6.381074270733172,Primary_frozen_confirmation,0.98250032458775,0.982591818182,9.997419354838708,restricted_confirmation_evidence
EL150800463838,Prim. Test,2017-05-12,880,5.4C(50%)-3C,5.4,50.0,3.0,1,data_1.xlsx,15,6.521319678351212,Primary_frozen_confirmation,6.48944527639153,Primary_frozen_confirmation,0.976780049416082,0.977861090909,11.555555555555555,restricted_confirmation_evidence
EL150800463871,Train,2017-05-12,559,5.4C(60%)-3.6C,5.4,60.0,3.6,1,data_1.xlsx,22,6.569866438367663,Train_policy_group_OOF,6.394762044182555,Train_policy_group_OOF,0.9782393051157176,0.975936909091,10.000000000000002,cross_fitted_development_evidence
EL150800463882,Train,2017-05-12,788,5.4C(40%)-3.6C,5.4,40.0,3.6,1,data_1.xlsx,12,6.5223205863707046,Train_policy_group_OOF,7.081104300486198,Train_policy_group_OOF,0.963610818182,0.962972,11.11111111111111,cross_fitted_development_evidence
EL150800463886,Prim. Test,2017-05-12,636,4.8C(80%)-4.8C,4.8,80.0,4.8,1,data_1.xlsx,7,6.65682950995369,Primary_frozen_confirmation,6.504022604538994,Primary_frozen_confirmation,0.9797180950940118,0.979848636364,10.000000000000002,restricted_confirmation_evidence
EL150800464002,Prim. Test,2017-05-12,534,5.4C(60%)-3.6C,5.4,60.0,3.6,1,data_1.xlsx,21,6.43031940934829,Primary_frozen_confirmation,6.285299250050095,Primary_frozen_confirmation,0.9635911833684824,0.960421818182,10.000000000000002,restricted_confirmation_evidence
EL150800464865,Prim. Test,2017-05-12,1709,4C(80%)-4C,4.0,80.0,4.0,2,data_1.xlsx;data_2.xlsx,5;17,7.213359990250898,Primary_frozen_confirmation,7.0709958595831335,Primary_frozen_confirmation,0.984223363636,0.983760909091,12.0,restricted_confirmation_evidence
EL150800464881,Train,2017-05-12,788,5.4C(60%)-3C,5.4,60.0,3.0,1,data_1.xlsx,20,6.559066345979087,Train_policy_group_OOF,6.427172166733059,Train_policy_group_OOF,0.986848447207501,0.987258909091,10.666666666666668,cross_fitted_development_evidence
EL150800464883,Train,2017-05-12,1074,4.4C(80%)-4.4C,4.4,80.0,4.4,1,data_1.xlsx,6,6.829516446494591,Train_policy_group_OOF,6.736508681251136,Train_policy_group_OOF,0.9815725149776856,0.981087272727,10.90909090909091,cross_fitted_development_evidence
EL150800464977,Train,2017-05-12,1434,4C(80%)-4C,4.0,80.0,4.0,2,data_1.xlsx;data_2.xlsx,4;16,6.406105458434047,Train_policy_group_OOF,7.038449694305155,Train_policy_group_OOF,0.986136181818,0.985516090909,12.0,cross_fitted_development_evidence
EL150800465027,Train,2017-05-12,870,4.8C(80%)-4.8C,4.8,80.0,4.8,1,data_1.xlsx,8,6.800846716988247,Train_policy_group_OOF,6.799145897744005,Train_policy_group_OOF,0.9956147919286752,0.995382545455,10.000000000000002,cross_fitted_development_evidence
