policy_table9,C1,Q1_percent,C2,tau_0_80_min,cell_count,train_oof_cell_count,primary_confirmation_cell_count,status,evidence_scope,q2_pred_median_log,q3_pred_median_log,q2_pred_empirical_p10_log,q3_pred_empirical_p10_log,q2_pred_empirical_p10_cycle,q3_pred_empirical_p10_cycle,life_rob_empirical_p10_cycle,q3_pred_soh_nom_120_median,q3_pred_soh_nom_120_empirical_p10,soh120_prediction_cell_count,development_pareto,pareto_scope
3.6C(22%)-5.5C,3.6,22.0,5.5,9.993939393939396,1,1,0,observed_single_cell_case,Train rows are policy-group OOF; Primary rows are one-time frozen confirmation; not independent external validation.,6.308134788004316,6.28580423953105,6.308134788004316,6.28580423953105,549.0199545882746,536.8959099664249,536.8959099664249,0.9668379451800512,0.9668379451800512,1,False,not_on_development_pool_pareto
5.2C(10%)-4.75C,5.2,10.0,4.75,9.995951417004049,1,0,1,observed_single_cell_case,Train rows are policy-group OOF; Primary rows are one-time frozen confirmation; not independent external validation.,6.16129087728236,6.177699646998757,6.16129087728236,6.177699646998757,474.0396070030424,481.88218128299565,474.0396070030424,0.9723980563503252,0.9723980563503252,1,False,not_on_development_pool_pareto
4.65C(44%)-5C,4.65,44.0,5.0,9.997419354838708,1,0,1,observed_single_cell_case,Train rows are policy-group OOF; Primary rows are one-time frozen confirmation; not independent external validation.,6.019922337178544,6.381074270733172,6.019922337178544,6.381074270733172,411.5466326128595,590.5617902567016,411.5466326128595,0.98250032458775,0.98250032458775,1,False,not_on_development_pool_pareto
4.65C(19%)-4.85C,4.65,19.0,4.85,9.998004655803127,1,1,0,observed_single_cell_case,Train rows are policy-group OOF; Primary rows are one-time frozen confirmation; not independent external validation.,6.2772780919787765,6.100953514865726,6.2772780919787765,6.100953514865726,532.3377157492731,446.28310484357286,446.28310484357286,0.9777744167464903,0.9777744167464903,1,False,not_on_development_pool_pareto
4.4C(8%)-4.85C,4.4,8.0,4.85,9.998125585754455,1,0,1,observed_single_cell_case,Train rows are policy-group OOF; Primary rows are one-time frozen confirmation; not independent external validation.,6.296940865891719,6.277801748890624,6.296940865891719,6.277801748890624,542.9085371589356,532.6165510742132,532.6165510742132,0.9860327546558588,0.9860327546558588,1,False,not_on_development_pool_pareto
6C(4%)-4.75C,6.0,4.0,4.75,10.0,1,1,0,observed_single_cell_case,Train rows are policy-group OOF; Primary rows are one-time frozen confirmation; not independent external validation.,6.276498157912032,6.302707647968904,6.276498157912032,6.302707647968904,531.9226892974198,546.0484171809013,531.9226892974198,0.9740082859339833,0.9740082859339833,1,False,not_on_development_pool_pareto
3.6C(30%)-6C,3.6,30.0,6.0,10.0,1,1,0,observed_single_cell_case,Train rows are policy-group OOF; Primary rows are one-time frozen confirmation; not independent external validation.,6.382537176910632,6.079095813166775,6.382537176910632,6.079095813166775,591.4263589851187,436.63421726840676,436.63421726840676,0.9554082921531476,0.9554082921531476,1,False,not_on_development_pool_pareto
4.4C(55%)-6C,4.4,55.0,6.0,10.0,1,1,0,observed_single_cell_case,Train rows are policy-group OOF; Primary rows are one-time frozen confirmation; not independent external validation.,6.047707837526784,5.567569659312331,6.047707837526784,5.567569659312331,423.14200736890956,261.79706938440677,261.79706938440677,0.9350307453626489,0.9350307453626489,1,False,not_on_development_pool_pareto
6C(50%)-3.6C,6.0,50.0,3.6,10.000000000000002,2,1,1,observed_Q2Q3_confirmed,Train rows are policy-group OOF; Primary rows are one-time frozen confirmation; not independent external validation.,6.511058520933653,6.7805142860565315,6.505745467106684,6.600361021569904,668.9741817667918,735.3606223718813,668.9741817667918,0.9788530869046064,0.9756688101732128,2,False,not_on_development_pool_pareto
4.8C(80%)-4.8C,4.8,80.0,4.8,10.000000000000002,5,2,3,observed_Q2Q3_confirmed,Train rows are policy-group OOF; Primary rows are one-time frozen confirmation; not independent external validation.,6.65682950995369,6.504022604538994,6.65682950995369,6.396617317176308,778.080127059085,599.8126264395657,599.8126264395657,0.9779274768548276,0.9718047046877226,5,False,not_on_development_pool_pareto
5.4C(60%)-3.6C,5.4,60.0,3.6,10.000000000000002,2,1,1,observed_Q2Q3_confirmed,Train rows are policy-group OOF; Primary rows are one-time frozen confirmation; not independent external validation.,6.500092923857977,6.340030647116325,6.43031940934829,6.285299250050095,620.372069008439,536.6248516260896,536.6248516260896,0.9709152442421,0.9635911833684824,2,False,not_on_development_pool_pareto
6C(52%)-3.5C,6.0,52.0,3.5,10.000000000000002,1,0,1,observed_single_cell_case,Train rows are policy-group OOF; Primary rows are one-time frozen confirmation; not independent external validation.,6.5045296202825975,6.230784139631908,6.5045296202825975,6.230784139631908,668.1613058989044,508.1537908375983,508.1537908375983,0.980023800472116,0.980023800472116,1,False,not_on_development_pool_pareto
6C(40%)-4C,6.0,40.0,4.0,10.000000000000002,1,0,1,observed_single_cell_case,Train rows are policy-group OOF; Primary rows are one-time frozen confirmation; not independent external validation.,6.377947499634468,6.189062702473623,6.377947499634468,6.189062702473623,588.7181225844062,487.38906349179996,487.38906349179996,0.976673675014184,0.976673675014184,1,False,not_on_development_pool_pareto
4C(40%)-6C,4.0,40.0,6.0,10.000000000000002,1,1,0,observed_single_cell_case,Train rows are policy-group OOF; Primary rows are one-time frozen confirmation; not independent external validation.,6.403742032656631,6.172085568982272,6.403742032656631,6.172085568982272,604.1013806793377,479.1844368818802,479.1844368818802,0.9729521955167706,0.9729521955167706,1,False,not_on_development_pool_pareto
6C(60%)-3C,6.0,60.0,3.0,10.000000000000002,3,1,2,observed_Q2Q3_confirmed,Train rows are policy-group OOF; Primary rows are one-time frozen confirmation; not independent external validation.,6.294911617339023,6.466921900674831,6.294911617339023,6.062471201316803,541.8079578478149,429.4353478903155,429.4353478903155,0.976499807934806,0.9505318320167404,3,False,not_on_development_pool_pareto
6C(20%)-4.5C,6.0,20.0,4.5,10.000000000000002,1,0,1,observed_single_cell_case,Train rows are policy-group OOF; Primary rows are one-time frozen confirmation; not independent external validation.,6.039840906243342,6.277073304504577,6.039840906243342,6.277073304504577,419.82623783999736,532.2287108148471,419.82623783999736,0.9827546657034651,0.9827546657034651,1,False,not_on_development_pool_pareto
1C(4%)-6C,1.0,4.0,6.0,10.000000000000002,1,1,0,observed_single_cell_case,Train rows are policy-group OOF; Primary rows are one-time frozen confirmation; not independent external validation.,5.788924738724773,6.360924043714324,5.788924738724773,6.360924043714324,326.66158891069824,578.7809282505278,326.66158891069824,0.943079058297896,0.943079058297896,1,False,not_on_development_pool_pareto
2C(10%)-6C,2.0,10.0,6.0,10.000000000000002,1,0,1,observed_single_cell_case,Train rows are policy-group OOF; Primary rows are one-time frozen confirmation; not independent external validation.,6.098740071279526,4.411044244020222,6.098740071279526,4.411044244020222,445.2963748060237,82.35541777031632,82.35541777031632,,,0,False,not_on_development_pool_pareto
5.6C(38%)-4.25C,5.6,38.0,4.25,10.000840336134456,1,1,0,observed_single_cell_case,Train rows are policy-group OOF; Primary rows are one-time frozen confirmation; not independent external validation.,6.253926080517124,6.293546882459751,6.253926080517124,6.293546882459751,520.0505823096627,541.0690379594315,520.0505823096627,0.9813520481847872,0.9813520481847872,1,False,not_on_development_pool_pareto
4.9C(27%)-4.75C,4.9,27.0,4.75,10.000859291084854,1,1,0,observed_single_cell_case,Train rows are policy-group OOF; Primary rows are one-time frozen confirmation; not independent external validation.,6.095485661829466,6.277088492787576,6.095485661829466,6.277088492787576,443.8495536269983,532.2367945165159,443.8495536269983,0.9709417921183172,0.9709417921183172,1,False,not_on_development_pool_pareto
4.9C(69%)-4.25C,4.9,69.0,4.25,10.001920768307322,1,1,0,observed_single_cell_case,Train rows are policy-group OOF; Primary rows are one-time frozen confirmation; not independent external validation.,6.263825278272678,6.3206399278429295,6.263825278272678,6.3206399278429295,525.2242311042453,555.9286328580148,525.2242311042453,0.979822280200234,0.979822280200234,1,False,not_on_development_pool_pareto
4C(4%)-4.85C,4.0,4.0,4.85,10.002061855670105,1,0,1,observed_single_cell_case,Train rows are policy-group OOF; Primary rows are one-time frozen confirmation; not independent external validation.,6.399316134186404,6.310424129368476,6.399316134186404,6.310424129368476,601.4335973266956,550.2782885084235,550.2782885084235,0.9809658165996628,0.9809658165996628,1,False,not_on_development_pool_pareto
5.2C(37%)-4.5C,5.2,37.0,4.5,10.002564102564103,1,1,0,observed_single_cell_case,Train rows are policy-group OOF; Primary rows are one-time frozen confirmation; not independent external validation.,6.161263492600457,6.355877915694638,6.161263492600457,6.355877915694638,474.0266257569399,575.8676820795505,474.0266257569399,0.9791371434530328,0.9791371434530328,1,False,not_on_development_pool_pareto
4.9C(61%)-4.5C,4.9,61.0,4.5,10.002721088435376,1,0,1,observed_single_cell_case,Train rows are policy-group OOF; Primary rows are one-time frozen confirmation; not independent external validation.,5.846031716775458,6.291962605464421,5.846031716775458,6.291962605464421,345.8591864959316,540.2125133949404,345.8591864959316,0.9767145197730848,0.9767145197730848,1,False,not_on_development_pool_pareto
4.65C(69%)-6C,4.65,69.0,6.0,10.003225806451614,1,1,0,observed_single_cell_case,Train rows are policy-group OOF; Primary rows are one-time frozen confirmation; not independent external validation.,6.260712321957839,6.19281720134386,6.260712321957839,6.19281720134386,523.5917732206385,489.2224046651233,489.2224046651233,0.972515609856894,0.972515609856894,1,False,not_on_development_pool_pareto
5.2C(50%)-4.25C,5.2,50.0,4.25,10.00452488687783,1,0,1,observed_single_cell_case,Train rows are policy-group OOF; Primary rows are one-time frozen confirmation; not independent external validation.,6.10412859868748,6.209531754554352,6.10412859868748,6.209531754554352,447.7023430174699,497.4682594955281,447.7023430174699,0.9800304937389368,0.9800304937389368,1,False,not_on_development_pool_pareto
4.4C(47%)-5.5C,4.4,47.0,5.5,10.009090909090908,1,0,1,observed_single_cell_case,Train rows are policy-group OOF; Primary rows are one-time frozen confirmation; not independent external validation.,6.057603137215827,6.047501872079524,6.057603137215827,6.047501872079524,427.34990923249376,423.05486371070657,423.05486371070657,0.9608454848291974,0.9608454848291974,1,False,not_on_development_pool_pareto
5.6C(5%)-4.75C,5.6,5.0,4.75,10.009398496240602,1,0,1,observed_single_cell_case,Train rows are policy-group OOF; Primary rows are one-time frozen confirmation; not independent external validation.,6.198740265161012,6.235105830581606,6.198740265161012,6.235105830581606,492.1286987747653,510.3546267173488,492.1286987747653,0.9802682037256442,0.9802682037256442,1,False,not_on_development_pool_pareto
5.6C(25%)-4.5C,5.6,25.0,4.5,10.011904761904763,1,0,1,observed_single_cell_case,Train rows are policy-group OOF; Primary rows are one-time frozen confirmation; not independent external validation.,6.067454584522209,5.678639612562669,6.067454584522209,5.678639612562669,431.5807299814552,292.55117614944453,292.55117614944453,0.9826319737818072,0.9826319737818072,1,False,not_on_development_pool_pareto
5.2C(66%)-3.5C,5.2,66.0,3.5,10.015384615384615,1,0,1,observed_single_cell_case,Train rows are policy-group OOF; Primary rows are one-time frozen confirmation; not independent external validation.,6.581012075363192,6.180158322741918,6.581012075363192,6.180158322741918,721.2689385000001,483.06843101731937,483.06843101731937,0.9754583275173466,0.9754583275173466,1,False,not_on_development_pool_pareto
6C(31%)-4.25C,6.0,31.0,4.25,10.017647058823531,1,1,0,observed_single_cell_case,Train rows are policy-group OOF; Primary rows are one-time frozen confirmation; not independent external validation.,6.408594561123562,6.067892527872482,6.408594561123562,6.067892527872482,607.0399237417656,431.76977928567794,431.76977928567794,0.978897760392682,0.978897760392682,1,False,not_on_development_pool_pareto
3.6C(9%)-5C,3.6,9.0,5.0,10.020000000000001,1,0,1,observed_single_cell_case,Train rows are policy-group OOF; Primary rows are one-time frozen confirmation; not independent external validation.,6.278961129778934,5.969794538121397,6.278961129778934,5.969794538121397,533.234414624713,391.4252395223506,391.4252395223506,0.9683541885139608,0.9683541885139608,1,False,not_on_development_pool_pareto
2C(7%)-5.5C,2.0,7.0,5.5,10.063636363636363,1,0,1,observed_single_cell_case,Train rows are policy-group OOF; Primary rows are one-time frozen confirmation; not independent external validation.,6.016605840181881,6.009224817395604,6.016605840181881,6.009224817395604,410.18400027382523,407.1675686908224,407.1675686908224,0.9500591389349736,0.9500591389349736,1,False,not_on_development_pool_pareto
7C(40%)-3.6C,7.0,40.0,3.6,10.095238095238097,2,1,1,observed_Q2Q3_confirmed,Train rows are policy-group OOF; Primary rows are one-time frozen confirmation; not independent external validation.,6.574081184180905,6.469191624946631,6.515438974557321,6.242230768087269,675.490419557538,514.0038563673677,514.0038563673677,0.9778822859804082,0.9711221868052022,2,False,not_on_development_pool_pareto
4C(31%)-5C,4.0,31.0,5.0,10.53,1,0,1,observed_single_cell_case,Train rows are policy-group OOF; Primary rows are one-time frozen confirmation; not independent external validation.,6.1544979636012505,6.136720471642002,6.1544979636012505,6.136720471642002,470.8304091137073,462.53418680734217,462.53418680734217,0.962453364855816,0.962453364855816,1,False,not_on_development_pool_pareto
5.4C(50%)-3.6C,5.4,50.0,3.6,10.555555555555555,2,1,1,observed_Q2Q3_confirmed,Train rows are policy-group OOF; Primary rows are one-time frozen confirmation; not independent external validation.,6.524202477865231,6.490916334685748,6.461855433169911,6.403821832533532,640.2478923582688,604.1495898186678,604.1495898186678,0.9820458993169121,0.9772675049742772,2,False,not_on_development_pool_pareto
6C(40%)-3.6C,6.0,40.0,3.6,10.666666666666668,2,1,1,observed_Q2Q3_confirmed,Train rows are policy-group OOF; Primary rows are one-time frozen confirmation; not independent external validation.,6.694178115160875,6.530924914224652,6.664490239674173,6.508358546653299,784.0636785357605,670.7245504486943,670.7245504486943,0.9876321697364723,0.9803092958046278,2,False,not_on_development_pool_pareto
5.4C(60%)-3C,5.4,60.0,3.0,10.666666666666668,2,1,1,observed_Q2Q3_confirmed,Train rows are policy-group OOF; Primary rows are one-time frozen confirmation; not independent external validation.,6.462077955559019,5.412534440395289,6.365089565138951,4.39789671405752,581.1968809653381,81.27973423331336,81.27973423331336,0.986848447207501,0.986848447207501,1,False,not_on_development_pool_pareto
7C(30%)-3.6C,7.0,30.0,3.6,10.904761904761905,2,1,1,observed_Q2Q3_confirmed,Train rows are policy-group OOF; Primary rows are one-time frozen confirmation; not independent external validation.,6.613426618908674,6.701388760216512,6.551013209511798,6.465595543059018,699.9530137048832,642.6469734488006,642.6469734488006,0.9855470208110254,0.9841922981512884,2,False,not_on_development_pool_pareto
4.4C(80%)-4.4C,4.4,80.0,4.4,10.90909090909091,1,1,0,observed_single_cell_case,Train rows are policy-group OOF; Primary rows are one-time frozen confirmation; not independent external validation.,6.829516446494591,6.736508681251136,6.829516446494591,6.736508681251136,924.7435413669847,842.6137612080327,842.6137612080327,0.9815725149776856,0.9815725149776856,1,False,not_on_development_pool_pareto
6C(50%)-3C,6.0,50.0,3.0,11.0,2,1,1,observed_Q2Q3_confirmed,Train rows are policy-group OOF; Primary rows are one-time frozen confirmation; not independent external validation.,6.4603628369975,6.526761785918806,6.451141730551282,6.498490983711781,633.4250808859207,664.1386804123753,633.4250808859207,0.9865493746624944,0.9803506796096652,2,False,not_on_development_pool_pareto
5.4C(40%)-3.6C,5.4,40.0,3.6,11.11111111111111,2,1,1,observed_Q2Q3_confirmed,Train rows are policy-group OOF; Primary rows are one-time frozen confirmation; not independent external validation.,6.628494386922403,6.899335627270377,6.5223205863707046,6.717566954054556,680.1549136194529,826.8034115880108,680.1549136194529,0.9759047782492081,0.963610818182,2,True,development_pool_non_dominated_not_external
6C(30%)-3.6C,6.0,30.0,3.6,11.333333333333332,2,1,1,observed_Q2Q3_confirmed,Train rows are policy-group OOF; Primary rows are one-time frozen confirmation; not independent external validation.,6.575511474294475,6.68572107179012,6.443416074413717,6.677862382347716,628.5503111655628,794.6187042834902,628.5503111655628,0.9816181948455183,0.98107067380067,2,False,not_on_development_pool_pareto
7C(40%)-3C,7.0,40.0,3.0,11.428571428571427,2,1,1,observed_Q2Q3_confirmed,Train rows are policy-group OOF; Primary rows are one-time frozen confirmation; not independent external validation.,6.519211297607342,6.775386402565552,6.470929045619533,6.644349881402411,646.0836894471828,768.4303143683088,646.0836894471828,0.983680408202834,0.9835331341731948,2,False,not_on_development_pool_pareto
5.4C(50%)-3C,5.4,50.0,3.0,11.555555555555555,2,1,1,observed_Q2Q3_confirmed,Train rows are policy-group OOF; Primary rows are one-time frozen confirmation; not independent external validation.,6.508735073779308,6.491444150357292,6.496150469207405,6.48944527639153,662.58607185814,658.1581660600227,658.1581660600227,0.9732553622194977,0.9697306750229135,2,False,not_on_development_pool_pareto
8C(15%)-3.6C,8.0,15.0,3.6,11.958333333333332,1,0,1,observed_single_cell_case,Train rows are policy-group OOF; Primary rows are one-time frozen confirmation; not independent external validation.,6.746345769927558,6.49599835611486,6.746345769927558,6.49599835611486,850.9435306660454,662.4852915068728,662.4852915068728,0.985556580416454,0.985556580416454,1,False,not_on_development_pool_pareto
6C(40%)-3C,6.0,40.0,3.0,12.0,2,1,1,observed_Q2Q3_confirmed,Train rows are policy-group OOF; Primary rows are one-time frozen confirmation; not independent external validation.,6.650225303712433,6.637613515803977,6.5992603954648335,6.55752093820486,734.5517105106719,704.522971911704,704.522971911704,0.9824555195117992,0.9819880528894188,2,True,development_pool_non_dominated_not_external
4C(80%)-4C,4.0,80.0,4.0,12.0,2,1,1,observed_Q2Q3_confirmed,Train rows are policy-group OOF; Primary rows are one-time frozen confirmation; not independent external validation.,6.809732724342473,7.0547227769441445,6.406105458434047,7.038449694305155,605.5308179737057,1139.6194778465792,605.5308179737057,0.985179772727,0.984223363636,2,False,not_on_development_pool_pareto
3.6C(80%)-3.6C,3.6,80.0,3.6,13.333333333333334,3,1,2,observed_Q2Q3_confirmed,Train rows are policy-group OOF; Primary rows are one-time frozen confirmation; not independent external validation.,7.488894356057079,7.131220133571053,6.417263355260082,7.113612455275868,612.325102840615,1228.5777214404607,612.325102840615,0.982390636364,0.978102363636,3,False,not_on_development_pool_pareto
