barcode,policy_table9,cycle_life_table9,C1,Q1_percent,C2,actual_log_life,outer_fold,full_pred_log,drop_C1_pred_log,drop_Q1_percent_pred_log,drop_C2_pred_log
EL150800460627,5.6C(58%)-3.5C,459,5.6,58.0,3.5,6.129050210060545,5,6.586871158898876,6.626281893411586,6.542006588570842,6.584350910411187
EL150800460628,5.2C(71%)-3C,463,5.2,71.0,3.0,6.137727054086234,4,6.656064737237859,6.744679183182688,6.629082616178091,6.55392053619123
EL150800460630,5.4C(70%)-3C,1017,5.4,70.0,3.0,6.92461239604856,3,6.581870036934336,6.645291281730566,6.509926344115078,6.521041534643688
EL150800460634,3.6C(30%)-6C,511,3.6,30.0,6.0,6.236369590203704,3,6.2215530496431946,6.15509995502373,6.269500136785572,6.306441072968199
EL150800460640,6C(40%)-3.6C,731,6.0,40.0,3.6,6.594413459749778,5,6.497669464945299,6.494620144771541,6.536929821697765,6.464479058235047
EL150800460641,5.2C(58%)-4C,520,5.2,58.0,4.0,6.253828811575473,5,6.547030672568099,6.575746276637976,6.494205039743448,6.567879396010035
EL150800460655,3.6C(22%)-5.5C,444,3.6,22.0,5.5,6.095824562432225,4,6.211577903321662,6.1250502127587865,6.262513983488307,6.276974578044202
EL150800460659,5.4C(80%)-5.4C,870,5.4,80.0,5.4,6.76849321164863,2,6.38655790076684,6.32617113983851,6.293684214461056,6.502349299897094
EL150800463208,4C(40%)-6C,483,4.0,40.0,6.0,6.180016653652572,3,6.265708115767882,6.214212745722037,6.274930772753919,6.358983979082586
EL150800463229,7C(30%)-3.6C,966,7.0,30.0,3.6,6.873163834212518,4,6.41485214972365,6.4064111012471905,6.5157660858713555,6.392291434594972
EL150800463871,5.4C(60%)-3.6C,559,5.4,60.0,3.6,6.326149473155099,5,6.58727033784197,6.629680839533011,6.531325393082263,6.591264416163643
EL150800463882,5.4C(40%)-3.6C,788,5.4,40.0,3.6,6.669498089857879,3,6.42174832520471,6.417204876852924,6.46672867502069,6.389985839608165
EL150800464881,5.4C(60%)-3C,788,5.4,60.0,3.0,6.669498089857879,4,6.60546659494342,6.673368361726759,6.626762098003989,6.504237763120729
EL150800464883,4.4C(80%)-4.4C,1074,4.4,80.0,4.4,6.97914527506881,4,6.574753115077098,6.6339202628229454,6.4226903331482434,6.580357577415669
EL150800464977,4C(80%)-4C,1434,4.0,80.0,4.0,7.2682230211595655,2,6.382894428155748,6.468390452489505,6.295500381768835,6.357162395594277
EL150800465027,4.8C(80%)-4.8C,870,4.8,80.0,4.8,6.76849321164863,1,6.5269315412902245,6.569010029579319,6.466758981532541,6.548088075475981
