barcode,dataset_table9,batch_date_table9,cycle_life_table9,policy_table9,C1,Q1_percent,C2,local_fragment_count,local_source_files,local_batch_indices,early_chargetime_median,early_chargetime_mean,early_chargetime_valid_count,QDischarge_cycle2,SOH_nom_cycle2,tau_0_80_theory_min,dataset_role
EL150800460477,Prim. Test,2017-05-12,1014,5.4C(70%)-3C,5.4,70.0,3.0,1,data_1.xlsx,24,11.430385,11.456439385963158,19,1.0792934,0.981175818182,9.777777777777779,主测试集
EL150800460478,Train,2017-06-30,494,4.4C(24%)-5C,4.4,24.0,5.0,1,data_2.xlsx,18,10.110875,10.143647543857895,19,1.0656468,0.968769818182,9.992727272727272,训练集
EL150800460480,Prim. Test,2017-06-30,487,4.4C(47%)-5.5C,4.4,47.0,5.5,1,data_2.xlsx,19,10.1986266667,10.17614035088421,19,1.063838,0.967125454545,10.009090909090908,主测试集
EL150800460481,Prim. Test,2017-05-12,876,6C(40%)-3.6C,6.0,40.0,3.6,1,data_1.xlsx,32,10.0971866667,10.13183552631579,19,1.0946392,0.995126545455,10.666666666666668,主测试集
EL150800460485,Train,2017-05-12,616,7C(40%)-3.6C,7.0,40.0,3.6,1,data_1.xlsx,45,10.304085,10.269172192978948,19,1.0847682,0.986152909091,10.095238095238097,训练集
EL150800460486,Train,2017-05-12,2160,3.6C(80%)-3.6C,3.6,80.0,3.6,2,data_1.xlsx;data_2.xlsx,2;9,13.425685,13.38598254386842,19,1.0753012,0.977546545455,13.333333333333334,训练集
EL150800460492,Prim. Test,2017-06-30,499,5.2C(66%)-3.5C,5.2,66.0,3.5,1,data_2.xlsx,35,10.1807166667,10.16330070175263,19,1.0688509,0.971682636364,10.015384615384615,主测试集
EL150800460498,Train,2017-06-30,462,6C(31%)-4.25C,6.0,31.0,4.25,1,data_2.xlsx,44,10.096085,10.122289035078946,19,1.0735646,0.975967818182,10.017647058823531,训练集
EL150800460501,Train,2017-06-30,527,4.65C(69%)-6C,4.65,69.0,6.0,1,data_2.xlsx,24,10.2576683333,10.277314649110526,19,1.0745209,0.976837181818,10.003225806451614,训练集
EL150800460506,Train,2017-05-12,704,6C(50%)-3.6C,6.0,50.0,3.6,1,data_1.xlsx,37,11.5246833333,11.546735175436842,19,1.0778315,0.979846818182,10.000000000000002,训练集
EL150800460507,Train,2017-05-12,860,6C(30%)-3.6C,6.0,30.0,3.6,1,data_1.xlsx,29,11.0970033333,11.131339561405264,19,1.0777475,0.979770454545,11.333333333333332,训练集
EL150800460510,Prim. Test,2017-06-30,458,4C(31%)-5C,4.0,31.0,5.0,1,data_2.xlsx,13,10.18468,10.147182631578948,19,1.0712759,0.973887181818,10.53,主测试集
EL150800460511,Train,2017-06-30,478,5.6C(38%)-4.25C,5.6,38.0,4.25,1,data_2.xlsx,38,10.1808866667,10.141843070173683,19,1.0748166,0.977106,10.000840336134456,训练集
EL150800460513,Train,2017-06-30,429,5.6C(65%)-3C,5.6,65.0,3.0,1,data_2.xlsx,42,10.1774383333,10.138420263157895,19,1.0682049,0.971095363636,9.964285714285715,训练集
EL150800460514,Prim. Test,2017-05-12,1852,3.6C(80%)-3.6C,3.6,80.0,3.6,2,data_1.xlsx;data_2.xlsx,1;8,13.4251666667,13.388500877194737,19,1.0706892,0.973353818182,13.333333333333334,主测试集
EL150800460518,Train,2017-06-30,300,1C(4%)-6C,1.0,4.0,6.0,1,data_2.xlsx,1,10.2636416667,10.251015964921052,19,1.0700541,0.972776454545,10.000000000000002,训练集
EL150800460522,Train,2017-05-12,857,5.4C(50%)-3.6C,5.4,50.0,3.6,1,data_1.xlsx,18,10.0969266667,10.123523070184211,19,1.072052,0.974592727273,10.555555555555555,训练集
EL150800460525,Train,2017-05-12,742,6C(50%)-3C,6.0,50.0,3.0,1,data_1.xlsx,35,11.001685,11.040609649115789,19,1.0766174,0.978743090909,11.0,训练集
EL150800460526,Prim. Test,2017-06-30,499,5.6C(5%)-4.75C,5.6,5.0,4.75,1,data_2.xlsx,41,10.0990783333,10.137995526321053,19,1.0765519,0.978683545455,10.009398496240602,主测试集
EL150800460527,Prim. Test,2017-06-30,481,5.2C(10%)-4.75C,5.2,10.0,4.75,1,data_2.xlsx,31,10.09766,10.13687350878421,19,1.0672802,0.970254727273,9.995951417004049,主测试集
EL150800460528,Prim. Test,2017-06-30,535,5.6C(25%)-4.5C,5.6,25.0,4.5,1,data_2.xlsx,37,10.098295,10.137047456142106,19,1.079731,0.981573636364,10.011904761904763,主测试集
EL150800460596,Prim. Test,2017-06-30,471,4.8C(80%)-4.8C,4.8,80.0,4.8,1,data_2.xlsx,27,10.0085916667,10.039352894736842,19,1.0766411,0.978764636364,10.000000000000002,主测试集
EL150800460597,Prim. Test,2017-06-30,495,4.8C(80%)-4.8C,4.8,80.0,4.8,1,data_2.xlsx,25,10.0082616667,10.04377342104737,19,1.0679682,0.970880181818,10.000000000000002,主测试集
EL150800460599,Prim. Test,2017-06-30,713,6C(60%)-3C,6.0,60.0,3.0,1,data_2.xlsx,48,10.0960783333,10.122322280715789,19,1.0421375,0.947397727273,10.000000000000002,主测试集
EL150800460601,Prim. Test,2017-05-12,648,6C(60%)-3C,6.0,60.0,3.0,1,data_1.xlsx,38,11.525085,11.563746929826316,19,1.0748194,0.977108545455,10.000000000000002,主测试集
EL150800460602,Train,2017-06-30,438,2C(2%)-5C,2.0,2.0,5.0,1,data_2.xlsx,3,10.1087366667,10.069573070173684,19,1.0735391,0.975944636364,9.96,训练集
EL150800460603,Train,2017-06-30,489,4.65C(19%)-4.85C,4.65,19.0,4.85,1,data_2.xlsx,22,10.18805,10.153161666663157,19,1.0768799,0.978981727273,9.998004655803127,训练集
EL150800460604,Train,2017-06-30,498,4.9C(69%)-4.25C,4.9,69.0,4.25,1,data_2.xlsx,30,10.09789,10.11983868421579,19,1.0725043,0.975003909091,10.001920768307322,训练集
EL150800460605,Prim. Test,2017-06-30,148,2C(10%)-6C,2.0,10.0,6.0,1,data_2.xlsx,2,10.3753616667,10.398297719305262,19,1.0720705,0.974609545455,10.000000000000002,主测试集
EL150800460608,Train,2017-06-30,492,5.2C(37%)-4.5C,5.2,37.0,4.5,1,data_2.xlsx,32,10.179815,10.140584210521054,19,1.0732793,0.975708454545,10.002564102564103,训练集
EL150800460610,Prim. Test,2017-06-30,509,4.9C(61%)-4.5C,4.9,61.0,4.5,1,data_2.xlsx,29,10.17943,10.16261640351579,19,1.07155,0.974136363636,10.002721088435376,主测试集
EL150800460611,Train,2017-06-30,461,4.8C(80%)-4.8C,4.8,80.0,4.8,1,data_2.xlsx,26,10.09247,10.0526354386,19,1.0672674,0.970243090909,10.000000000000002,训练集
EL150800460613,Train,2017-06-30,487,6C(4%)-4.75C,6.0,4.0,4.75,1,data_2.xlsx,46,10.0974633333,10.1323331579,19,1.0704726,0.973156909091,10.0,训练集
EL150800460614,Train,2017-06-30,468,4.9C(27%)-4.75C,4.9,27.0,4.75,1,data_2.xlsx,28,10.1805066667,10.14117394736842,19,1.065841,0.968946363636,10.000859291084854,训练集
EL150800460615,Train,2017-05-12,709,6C(40%)-3C,6.0,40.0,3.0,1,data_1.xlsx,31,10.09716,10.136148947378947,19,1.0798637,0.981694272727,12.0,训练集
EL150800460617,Prim. Test,2017-05-12,854,5.4C(80%)-5.4C,5.4,80.0,5.4,1,data_1.xlsx,26,12.1792933333,12.149028421057896,19,1.0752345,0.977485909091,8.88888888888889,主测试集
EL150800460618,Train,2017-05-12,702,7C(40%)-3C,7.0,40.0,3.0,1,data_1.xlsx,43,11.1379616667,11.177048333342105,19,1.0798725,0.981702272727,11.428571428571427,训练集
EL150800460622,Prim. Test,2017-05-12,703,6C(50%)-3.6C,6.0,50.0,3.6,1,data_1.xlsx,36,11.084155,11.049402982452632,19,1.0707464,0.973405818182,10.000000000000002,主测试集
EL150800460623,Prim. Test,2017-05-12,2237,3.6C(80%)-3.6C,3.6,80.0,3.6,2,data_1.xlsx;data_2.xlsx,3;10,13.3415566667,13.376897456142105,19,1.0799223,0.981747545455,13.333333333333334,主测试集
EL150800460627,Train,2017-06-30,459,5.6C(58%)-3.5C,5.6,58.0,3.5,1,data_2.xlsx,40,10.1772533333,10.138221403510526,19,1.0784613,0.980419363636,9.985714285714286,训练集
EL150800460628,Train,2017-06-30,463,5.2C(71%)-3C,5.2,71.0,3.0,1,data_2.xlsx,36,10.180005,10.140989649121053,19,1.0687217,0.971565181818,9.992307692307692,训练集
EL150800460630,Train,2017-05-12,1017,5.4C(70%)-3C,5.4,70.0,3.0,1,data_1.xlsx,25,12.0984833333,12.13650324561579,19,1.0745355,0.976850454545,9.777777777777779,训练集
EL150800460631,Prim. Test,2017-06-30,519,5.2C(50%)-4.25C,5.2,50.0,4.25,1,data_2.xlsx,33,10.0977266667,10.127995438594738,19,1.0742669,0.976606272727,10.00452488687783,主测试集
EL150800460634,Train,2017-06-30,511,3.6C(30%)-6C,3.6,30.0,6.0,1,data_2.xlsx,7,10.2324066667,10.198997982457895,19,1.0687391,0.971581,10.0,训练集
EL150800460635,Prim. Test,2017-06-30,480,3.6C(2%)-4.85C,3.6,2.0,4.85,1,data_2.xlsx,6,10.1790916667,10.139944561405263,19,1.0680153,0.970923,9.98281786941581,主测试集
EL150800460636,Prim. Test,2017-05-12,651,7C(40%)-3.6C,7.0,40.0,3.6,1,data_1.xlsx,44,11.137465,11.16355394735263,19,1.0682389,0.971126272727,10.095238095238097,主测试集
EL150800460640,Train,2017-05-12,731,6C(40%)-3.6C,6.0,40.0,3.6,1,data_1.xlsx,33,10.0964033333,10.126873947363157,19,1.0778366,0.979851454545,10.666666666666668,训练集
EL150800460641,Train,2017-06-30,520,5.2C(58%)-4C,5.2,58.0,4.0,1,data_2.xlsx,34,10.09632,10.135427017542105,19,1.079052,0.980956363636,9.992307692307692,训练集
EL150800460642,Prim. Test,2017-05-12,625,7C(30%)-3.6C,7.0,30.0,3.6,1,data_1.xlsx,40,10.274565,10.239761491221053,19,1.0817773,0.983433909091,10.904761904761905,主测试集
EL150800460644,Prim. Test,2017-05-12,917,6C(40%)-3C,6.0,40.0,3.0,1,data_1.xlsx,30,11.1793433333,11.148878508778948,19,1.0794537,0.981321545455,12.0,主测试集
EL150800460647,Prim. Test,2017-05-12,1051,7C(40%)-3C,7.0,40.0,3.0,1,data_1.xlsx,42,12.0543966667,12.084852456147368,19,1.0789614,0.980874,11.428571428571427,主测试集
EL150800460649,Prim. Test,2017-06-30,465,5.6C(47%)-4C,5.6,47.0,4.0,1,data_2.xlsx,39,10.1814283333,10.14227605263158,19,1.0699497,0.972681545455,9.985714285714288,主测试集
EL150800460652,Prim. Test,2017-06-30,502,4.4C(8%)-4.85C,4.4,8.0,4.85,1,data_2.xlsx,21,10.181285,10.14628359648421,19,1.0831043,0.984640272727,9.998125585754455,主测试集
EL150800460653,Prim. Test,2017-05-12,862,5.4C(50%)-3.6C,5.4,50.0,3.6,1,data_1.xlsx,17,10.096875,10.123017105257896,19,1.0811664,0.982878545455,10.555555555555555,主测试集
EL150800460655,Train,2017-06-30,444,3.6C(22%)-5.5C,3.6,22.0,5.5,1,data_2.xlsx,5,10.1707583333,10.141975789473685,19,1.0728973,0.975361181818,9.993939393939396,训练集
EL150800460656,Prim. Test,2017-05-12,599,8C(15%)-3.6C,8.0,15.0,3.6,1,data_1.xlsx,46,10.2214433333,10.251734824557895,19,1.0839558,0.985414363636,11.958333333333332,主测试集
EL150800460659,Train,2017-05-12,870,5.4C(80%)-5.4C,5.4,80.0,5.4,1,data_1.xlsx,27,10.7650233333,10.791216403510527,19,1.0876514,0.988774,8.88888888888889,训练集
EL150800460673,Prim. Test,2017-06-30,335,2C(7%)-5.5C,2.0,7.0,5.5,1,data_2.xlsx,4,10.1319133333,10.104553947363158,19,1.0668509,0.969864454545,10.063636363636363,主测试集
EL150800460678,Prim. Test,2017-06-30,429,6C(52%)-3.5C,6.0,52.0,3.5,1,data_2.xlsx,47,10.09714,10.131950526315789,19,1.0726138,0.975103454545,10.000000000000002,主测试集
EL150800463198,Prim. Test,2017-05-12,842,6C(30%)-3.6C,6.0,30.0,3.6,1,data_1.xlsx,28,10.8465583333,10.811685175442104,19,1.0790461,0.980951,11.333333333333332,主测试集
EL150800463208,Train,2017-06-30,483,4C(40%)-6C,4.0,40.0,6.0,1,data_2.xlsx,14,10.2615216667,10.232330877199999,19,1.080285,0.982077272727,10.000000000000002,训练集
EL150800463229,Train,2017-05-12,966,7C(30%)-3.6C,7.0,30.0,3.6,1,data_1.xlsx,41,12.05476,12.09382052631579,19,1.0833029,0.984820818182,10.904761904761905,训练集
EL150800463245,Prim. Test,2017-06-30,513,4.65C(44%)-5C,4.65,44.0,5.0,1,data_2.xlsx,23,10.11432,10.14075587718421,19,1.079723,0.981566363636,9.997419354838708,主测试集
EL150800463838,Prim. Test,2017-05-12,880,5.4C(50%)-3C,5.4,50.0,3.0,1,data_1.xlsx,15,10.763266666700002,10.7819987963,18,1.0709661,0.973605545455,11.555555555555555,主测试集
EL150800463871,Train,2017-05-12,559,5.4C(60%)-3.6C,5.4,60.0,3.6,1,data_1.xlsx,22,8.98104833333,8.959635877193683,19,1.0824388,0.984035272727,10.000000000000002,训练集
EL150800463882,Train,2017-05-12,788,5.4C(40%)-3.6C,5.4,40.0,3.6,1,data_1.xlsx,12,11.6523283333,11.682822982457894,19,1.0537786,0.957980545455,11.11111111111111,训练集
EL150800463886,Prim. Test,2017-05-12,636,4.8C(80%)-4.8C,4.8,80.0,4.8,1,data_1.xlsx,7,10.008115,10.048274912278947,19,1.0758358,0.978032545455,10.000000000000002,主测试集
EL150800464002,Prim. Test,2017-05-12,534,5.4C(60%)-3.6C,5.4,60.0,3.6,1,data_1.xlsx,21,8.98767833333,9.017752719298947,19,1.07263,0.975118181818,10.000000000000002,主测试集
EL150800464865,Prim. Test,2017-05-12,1709,4C(80%)-4C,4.0,80.0,4.0,2,data_1.xlsx;data_2.xlsx,5;17,12.00831,12.0480391228,19,1.0784167,0.980378818182,12.0,主测试集
EL150800464881,Train,2017-05-12,788,5.4C(60%)-3C,5.4,60.0,3.0,1,data_1.xlsx,20,9.95795166667,9.927391140351052,19,1.0851147,0.986467909091,10.666666666666668,训练集
EL150800464883,Train,2017-05-12,1074,4.4C(80%)-4.4C,4.4,80.0,4.4,1,data_1.xlsx,6,10.917449999999999,10.954671203705555,18,1.0761266,0.978296909091,10.90909090909091,训练集
EL150800464977,Train,2017-05-12,1434,4C(80%)-4C,4.0,80.0,4.0,2,data_1.xlsx;data_2.xlsx,4;16,12.0924366667,12.065922456142104,19,1.0797229,0.981566272727,12.0,训练集
EL150800465027,Train,2017-05-12,870,4.8C(80%)-4.8C,4.8,80.0,4.8,1,data_1.xlsx,8,10.0109633333,10.04845114035263,19,1.0938644,0.994422181818,10.000000000000002,训练集
EL150800737213,Sec. test,2018-04-12,828,5.6C(36%)-4.3C,5.6,36.0,4.3,1,data_3.xlsx,6,10.0420916667,10.041954824552633,19,1.0514506,0.955864181818,9.996677740863788,次测试集
EL150800737229,Sec. test,2018-04-12,667,3.7C(31%)-5.9C,3.7,31.0,5.9,1,data_3.xlsx,7,10.0623516667,10.062131929826316,19,1.0626124,0.966011272727,10.010077874484654,次测试集
EL150800737233,Sec. test,2018-04-12,828,5C(67%)-4C,5.0,67.0,4.0,1,data_3.xlsx,9,10.0432583333,10.043593947368421,19,1.0647362,0.967942,9.99,次测试集
EL150800737234,Sec. test,2018-04-12,541,3.7C(31%)-5.9C,3.7,31.0,5.9,1,data_3.xlsx,29,10.0589383333,10.058086754378948,19,1.0518668,0.956242545455,10.010077874484654,次测试集
EL150800737251,Sec. test,2018-04-12,850,5.6C(36%)-4.3C,5.6,36.0,4.3,1,data_3.xlsx,28,10.0449416667,10.044909210521054,19,1.0604171,0.964015545455,9.996677740863788,次测试集
EL150800737259,Sec. test,2018-04-12,989,5.3C(54%)-4C,5.3,54.0,4.0,1,data_3.xlsx,26,10.0420466667,10.042095877189473,19,1.0611302,0.964663818182,10.013207547169811,次测试集
EL150800737270,Sec. test,2018-04-12,1039,5.3C(54%)-4C,5.3,54.0,4.0,1,data_3.xlsx,10,10.0413816667,10.041356403510527,19,1.0694826,0.972256909091,10.013207547169811,次测试集
EL150800737274,Sec. test,2018-04-12,1146,5.6C(19%)-4.6C,5.6,19.0,4.6,1,data_3.xlsx,19,10.0427283333,10.042753333331579,19,1.0680237,0.970930636364,9.992236024844724,次测试集
EL150800737275,Sec. test,2018-04-12,1155,5.6C(36%)-4.3C,5.6,36.0,4.3,1,data_3.xlsx,20,10.043135,10.042866228073683,19,1.0719248,0.974477090909,9.996677740863788,次测试集
EL150800737276,Sec. test,2018-04-12,817,5.6C(19%)-4.6C,5.6,19.0,4.6,1,data_3.xlsx,12,10.0415866667,10.041937192978947,19,1.0680679,0.970970818182,9.992236024844724,次测试集
EL150800737277,Sec. test,2018-04-12,1078,4.36C(80%)-4.36C,4.36,80.0,4.36,1,data_3.xlsx,11,11.0384933333,11.0417314035,19,1.0617746,0.965249636364,11.009174311926607,次测试集
EL150800737279,Sec. test,2018-04-12,731,5.9C(60%)-3.1C,5.9,60.0,3.1,1,data_3.xlsx,32,10.045975,10.045332719300001,19,1.0681812,0.971073818182,9.972662657189721,次测试集
EL150800737280,Sec. test,2018-04-12,1115,5.6C(36%)-4.3C,5.6,36.0,4.3,1,data_3.xlsx,4,10.0417966667,10.041781754389474,19,1.0628892,0.966262909091,9.996677740863788,次测试集
EL150800737285,Sec. test,2018-04-12,1002,5.9C(60%)-3.1C,5.9,60.0,3.1,1,data_3.xlsx,23,10.04306,10.042832543857894,19,1.0562643,0.960240272727,9.972662657189721,次测试集
EL150800737287,Sec. test,2018-04-12,1028,5.6C(19%)-4.6C,5.6,19.0,4.6,1,data_3.xlsx,27,10.04222,10.04225236841579,19,1.0720186,0.974562363636,9.992236024844724,次测试集
EL150800737304,Sec. test,2018-04-12,1284,5C(67%)-4C,5.0,67.0,4.0,1,data_3.xlsx,34,10.043275,10.043134736836842,19,1.060272,0.963883636364,9.99,次测试集
EL150800737307,Sec. test,2018-04-12,1836,4.36C(80%)-4.36C,4.36,80.0,4.36,1,data_3.xlsx,8,11.0387116667,11.043517456136843,19,1.0675218,0.970474363636,11.009174311926607,次测试集
EL150800737313,Sec. test,2018-04-12,1063,5.3C(54%)-4C,5.3,54.0,4.0,1,data_3.xlsx,2,10.0413716667,10.04136517543158,19,1.0650603,0.968236636364,10.013207547169811,次测试集
EL150800737314,Sec. test,2018-04-12,932,5.6C(36%)-4.3C,5.6,36.0,4.3,1,data_3.xlsx,13,10.0425733333,10.042375789478948,19,1.0741653,0.976513909091,9.996677740863788,次测试集
EL150800737315,Sec. test,2018-04-12,813,5C(67%)-4C,5.0,67.0,4.0,1,data_3.xlsx,21,10.04312,10.043239649126315,19,1.0650502,0.968227454545,9.99,次测试集
EL150800737319,Sec. test,2018-04-12,816,5.6C(19%)-4.6C,5.6,19.0,4.6,1,data_3.xlsx,14,10.0418,10.042112894742106,19,1.065558,0.968689090909,9.992236024844724,次测试集
EL150800737320,Sec. test,2018-04-12,858,5.9C(15%)-4.6C,5.9,15.0,4.6,1,data_3.xlsx,30,10.04223,10.042275964905263,19,1.0663688,0.969426181818,10.003684598378777,次测试集
EL150800737329,Sec. test,2018-04-12,1009,5C(67%)-4C,5.0,67.0,4.0,1,data_3.xlsx,1,10.04228,10.042868245605263,19,1.0674551,0.970413727273,9.99,次测试集
EL150800737334,Sec. test,2018-04-12,1935,5C(67%)-4C,5.0,67.0,4.0,1,data_3.xlsx,39,10.0436266667,10.04387149123158,19,1.0701473,0.972861181818,9.99,次测试集
EL150800737345,Sec. test,2018-04-12,1638,4.36C(80%)-4.36C,4.36,80.0,4.36,1,data_3.xlsx,17,11.04055,11.042084561405263,19,1.061009,0.964553636364,11.009174311926607,次测试集
EL150800737350,Sec. test,2018-04-12,1158,5.3C(54%)-4C,5.3,54.0,4.0,1,data_3.xlsx,35,10.0439683333,10.043944736836842,19,1.061535,0.965031818182,10.013207547169811,次测试集
EL150800737361,Sec. test,2018-04-12,1156,5.3C(54%)-4C,5.3,54.0,4.0,1,data_3.xlsx,40,10.0435283333,10.043624649110527,19,1.0474036,0.952185090909,10.013207547169811,次测试集
EL150800737365,Sec. test,2018-04-12,923,5.6C(36%)-4.3C,5.6,36.0,4.3,1,data_3.xlsx,37,10.043455,10.04342166666842,19,1.0575287,0.961389727273,9.996677740863788,次测试集
EL150800737366,Sec. test,2018-04-12,772,3.7C(31%)-5.9C,3.7,31.0,5.9,1,data_3.xlsx,22,10.0632216667,10.064353859647369,19,1.0678563,0.970778454545,10.010077874484654,次测试集
EL150800737368,Sec. test,2018-04-12,825,5C(67%)-4C,5.0,67.0,4.0,1,data_3.xlsx,25,10.04196,10.041891052636842,19,1.0462732,0.951157454545,9.99,次测试集
EL150800737369,Sec. test,2018-04-12,940,5.3C(54%)-4C,5.3,54.0,4.0,1,data_3.xlsx,45,10.0429666667,10.043174210521052,19,1.06972,0.972472727273,10.013207547169811,次测试集
EL150800737378,Sec. test,2018-04-12,1315,5.3C(54%)-4C,5.3,54.0,4.0,1,data_3.xlsx,18,10.0419483333,10.042099035089473,19,1.0664514,0.969501272727,10.013207547169811,次测试集
EL150800737380,Sec. test,2018-04-12,935,5.3C(54%)-4C,5.3,54.0,4.0,1,data_3.xlsx,31,10.04359,10.043634035094737,19,1.0687393,0.971581181818,10.013207547169811,次测试集
EL150800737386,Sec. test,2018-04-12,876,5.9C(15%)-4.6C,5.9,15.0,4.6,1,data_3.xlsx,16,10.0417116667,10.041546929821052,19,1.0684187,0.971289727273,10.003684598378777,次测试集
EL150800737387,Sec. test,2018-04-12,858,5.6C(36%)-4.3C,5.6,36.0,4.3,1,data_3.xlsx,15,10.0416483333,10.041927807010527,19,1.0727056,0.975186909091,9.996677740863788,次测试集
EL150800737390,Sec. test,2018-04-12,796,5.6C(19%)-4.6C,5.6,19.0,4.6,1,data_3.xlsx,41,10.04366,10.043878421057896,19,1.0593235,0.963021363636,9.992236024844724,次测试集
EL150800739476,Sec. test,2018-04-12,1048,5.6C(19%)-4.6C,5.6,19.0,4.6,1,data_3.xlsx,5,10.0455666667,10.045425087721053,19,1.0724765,0.974978636364,9.992236024844724,次测试集
EL150800739477,Sec. test,2018-04-12,1093,5.6C(19%)-4.6C,5.6,19.0,4.6,1,data_3.xlsx,36,10.043445,10.043485877194737,19,1.0633804,0.966709454545,9.992236024844724,次测试集
EL150800739484,Sec. test,2018-04-12,1801,4.36C(80%)-4.36C,4.36,80.0,4.36,1,data_3.xlsx,46,11.03766,11.038556491226316,19,1.0695485,0.972316818182,11.009174311926607,次测试集
EL150800739495,Sec. test,2018-04-12,786,5.6C(36%)-4.3C,5.6,36.0,4.3,1,data_3.xlsx,42,10.0428716667,10.043057192984211,19,1.0505219,0.955019909091,9.996677740863788,次测试集
